,distance,pi,fitted,BGS
0,30.0,0.7529529147130001,0.9409711556508565,1.0
1,60.0,0.775920318026,0.9633933598910689,1.0
2,90.0,0.7908060058590001,0.9775020904338287,1.0
3,120.0,0.800317741274,0.9862507168834089,1.0
4,150.0,0.807804868551,0.9916264603573693,1.0
5,180.0,0.8152805456329999,0.9949112214253931,1.0
6,210.0,0.8209806983489999,0.9969114540874708,1.0
7,240.0,0.823689790064,0.9981269407965538,1.0
8,270.0,0.8236740998700001,0.9988646216487935,1.0
9,300.0,0.832804593525,0.9993119764225609,1.0
10,330.0,0.8339925799979998,0.9995831407888883,1.0
11,360.0,0.833021856834,0.9997474606604265,1.0
12,390.0,0.8386860465619999,0.9998470179285052,1.0
13,420.0,0.837937358556,0.9999073308914856,1.0
14,450.0,0.840693146746,0.9999438668899898,1.0
15,480.0,0.843099570797,0.9999659985868219,1.0
16,510.0,0.840835225817,0.9999794045615958,1.0
17,540.0,0.857473052595,0.9999875249349567,1.0
18,570.0,0.8453971379869999,0.9999924436301623,1.0
19,600.0,0.839396639769,0.9999954229806265,1.0
20,630.0,0.8471177160519999,0.9999972276262032,1.0
21,660.0,0.851978736694,0.9999983207300707,1.0
22,690.0,0.854245460649,0.9999989828405235,1.0
23,720.0,0.8508149280670001,0.9999993838911109,1.0
24,750.0,0.845308305396,0.9999996268135802,1.0
25,780.0,0.850827780374,0.999999773955395,1.0
26,810.0,0.8536044855789999,0.9999998630814043,1.0
27,840.0,0.852466996064,0.9999999170663632,1.0
28,870.0,0.859404012998,0.9999999497658595,1.0
29,900.0,0.866567122972,0.9999999695724324,1.0
30,930.0,0.858401448996,0.9999999815695689,1.0
31,960.0,0.85996844649,0.9999999888364134,1.0
32,990.0,0.8636415657319998,0.9999999932380492,1.0
33,1020.0,0.8774924685399998,0.9999999959041856,1.0
34,1050.0,0.881433260932,0.9999999975191043,1.0
35,1080.0,0.890536131393,0.9999999984972845,1.0
36,1110.0,0.8765150016309999,0.9999999990897828,1.0
37,1140.0,0.87167409818,0.9999999994486679,1.0
38,1170.0,0.8676869796930001,0.99999999966605,1.0
39,1200.0,0.877983991653,0.9999999997977216,1.0
40,1230.0,0.88397708986,0.9999999998774769,1.0
41,1260.0,0.876465252583,0.999999999925786,1.0
42,1290.0,0.8830888692379999,0.9999999999550475,1.0
43,1320.0,0.887975832201,0.9999999999727716,1.0
44,1350.0,0.9164804809049999,0.9999999999835074,1.0
45,1380.0,0.870096495254,0.9999999999900102,1.0
46,1410.0,0.876896677293,0.9999999999939491,1.0
47,1440.0,0.89909514481,0.9999999999963347,1.0
48,1470.0,0.9044520189059999,0.99999999999778,1.0
49,1500.0,0.8669019098290001,0.9999999999986553,1.0
50,1530.0,0.912960806827,0.9999999999991855,1.0
51,1560.0,0.90995242836,0.9999999999995066,1.0
52,1590.0,0.9172136259469998,0.9999999999997011,1.0
53,1620.0,0.908282237095,0.999999999999819,1.0
54,1650.0,0.8954029731700002,0.9999999999998903,1.0
55,1680.0,0.8737373040579999,0.9999999999999336,1.0
56,1710.0,0.879247728073,0.9999999999999598,1.0
57,1740.0,0.9335869521079998,0.9999999999999756,1.0
58,1770.0,0.9262331423549999,0.9999999999999853,1.0
59,1800.0,0.8995658087780001,0.9999999999999911,1.0
60,1830.0,0.919130804524,0.9999999999999947,1.0
61,1860.0,0.8829220834759999,0.9999999999999967,1.0
62,1890.0,0.8850618522799999,0.999999999999998,1.0
63,1920.0,0.890180277234,0.9999999999999989,1.0
64,1950.0,0.922916717483,0.9999999999999993,1.0
65,1980.0,0.8511382887060002,0.9999999999999996,1.0
66,2010.0,0.895843101038,0.9999999999999998,1.0
67,2040.0,0.911956915884,0.9999999999999998,1.0
68,2070.0,0.906482443525,1.0,1.0
69,2100.0,0.9396221180259999,1.0,1.0
70,2130.0,0.9400372142479999,1.0,1.0
71,2160.0,0.9709627590469999,1.0,1.0
72,2190.0,0.8862051475420001,1.0,1.0
73,2220.0,0.887216109662,1.0,1.0
74,2250.0,0.9402261659049999,1.0,1.0
75,2280.0,0.9227274550709998,1.0,1.0
76,2310.0,0.9190977937329999,1.0,1.0
77,2340.0,0.892777041396,1.0,1.0
78,2370.0,0.915565094386,1.0,1.0
79,2400.0,0.9493420599129998,1.0,1.0
80,2430.0,0.9273030400499999,1.0,1.0
81,2460.0,0.8825817497200001,1.0,1.0
82,2490.0,0.8405797101450001,1.0,1.0
83,2520.0,0.9137834589629998,1.0,1.0
84,2550.0,0.992851518095,1.0,1.0
85,2580.0,0.893175884251,1.0,1.0
86,2610.0,0.861080935628,1.0,1.0
87,2640.0,0.877272636756,1.0,1.0
88,2670.0,0.736384041043,1.0,1.0
89,2700.0,0.858397285872,1.0,1.0
90,2730.0,0.9791124114499999,1.0,1.0
91,2760.0,0.9620447850680001,1.0,1.0
92,2790.0,0.716986020657,1.0,1.0
93,2820.0,0.8789275126149999,1.0,1.0
94,2850.0,0.945375001103,1.0,1.0
95,2880.0,0.909759836484,1.0,1.0
96,2910.0,0.949073427062,1.0,1.0
97,2940.0,0.8134521607529999,1.0,1.0
98,2970.0,0.810876488916,1.0,1.0
