NeSa,S_d,b,model,number,pa,product
4.46803,-40.96179,1.11813,Exp.Nes10_dDFE.Exponential,323,0.0087,0.038871861
5.28844,-40.84132,1.1121,Exp.Nes10_dDFE.Exponential,773,0.00698,0.0369133112
7.8387,-44.62276,1.01133,Exp.Nes10_dDFE.Exponential,73,0.0043,0.03370641
5.83837,-47.66347,0.94721,Exp.Nes10_dDFE.Exponential,320,0.00483,0.0281993271
15.72239,-48.06066,0.93277,Exp.Nes10_dDFE.Exponential,948,0.00177,0.0278286303
5.37412,-46.23173,1.01141,Exp.Nes10_dDFE.Exponential,365,0.00644,0.0346093328
6.40048,-44.59034,1.03299,Exp.Nes10_dDFE.Exponential,999,0.00515,0.032962472
1.92031,-41.04488,1.30374,Exp.Nes10_dDFE.Exponential,258,0.02106,0.0404417286
7.24382,-45.34683,1.00712,Exp.Nes10_dDFE.Exponential,557,0.00448,0.0324523136
3.78984,-43.60081,1.07289,Exp.Nes10_dDFE.Exponential,188,0.00858,0.0325168272
8.49694,-44.4264,1.02309,Exp.Nes10_dDFE.Exponential,669,0.00401,0.0340727294
2.21153,-43.45066,1.13139,Exp.Nes10_dDFE.Exponential,993,0.01505,0.0332835265
10.00881,-42.52926,1.05389,Exp.Nes10_dDFE.Exponential,716,0.00357,0.0357314517
7.11883,-45.82818,1.00059,Exp.Nes10_dDFE.Exponential,605,0.0041,0.029187203
6.41734,-42.76605,1.04128,Exp.Nes10_dDFE.Exponential,585,0.00526,0.0337552084
5.93009,-42.83284,1.06947,Exp.Nes10_dDFE.Exponential,850,0.00605,0.0358770445
2.28873,-40.20819,1.23773,Exp.Nes10_dDFE.Exponential,869,0.01666,0.0381302418
9.84596,-49.1926,0.94239,Exp.Nes10_dDFE.Exponential,539,0.00317,0.0312116932
3.09906,-45.94788,1.07114,Exp.Nes10_dDFE.Exponential,119,0.01094,0.0339037164
1.84064,-44.92118,1.14831,Exp.Nes10_dDFE.Exponential,55,0.01844,0.0339414016
3.82355,-42.75891,1.12748,Exp.Nes10_dDFE.Exponential,520,0.00939,0.0359031345
10.62868,-49.87475,0.89635,Exp.Nes10_dDFE.Exponential,403,0.00265,0.028166002
7.13838,-43.64556,1.06545,Exp.Nes10_dDFE.Exponential,93,0.00509,0.0363343542
4.95239,-42.00193,1.10176,Exp.Nes10_dDFE.Exponential,503,0.00699,0.0346172061
7.17634,-45.24825,1.00878,Exp.Nes10_dDFE.Exponential,350,0.0047,0.033728798
12.51025,-42.46427,1.03066,Exp.Nes10_dDFE.Exponential,984,0.00277,0.0346533925
8.67837,-49.97208,0.92053,Exp.Nes10_dDFE.Exponential,461,0.00307,0.0266425959
7.09967,-41.69942,1.12008,Exp.Nes10_dDFE.Exponential,960,0.00557,0.0395451619
7.37721,-46.30011,1.00861,Exp.Nes10_dDFE.Exponential,962,0.00469,0.0345991149
9.81865,-45.77404,1.00325,Exp.Nes10_dDFE.Exponential,575,0.00344,0.033776156
4.81415,-43.14028,1.07713,Exp.Nes10_dDFE.Exponential,922,0.00723,0.0348063045
7.96571,-44.69723,1.06481,Exp.Nes10_dDFE.Exponential,876,0.00469,0.0373591799
6.0759,-46.22217,0.97148,Exp.Nes10_dDFE.Exponential,160,0.00467,0.028374453
4.64389,-47.83296,1.0124,Exp.Nes10_dDFE.Exponential,979,0.00709,0.0329251801
11.44912,-46.39909,0.97435,Exp.Nes10_dDFE.Exponential,788,0.00247,0.0282793264
10.62829,-51.55771,0.89061,Exp.Nes10_dDFE.Exponential,211,0.00248,0.0263581592
8.60747,-44.74399,1.01455,Exp.Nes10_dDFE.Exponential,138,0.00392,0.0337412824
5.29702,-41.50413,1.11931,Exp.Nes10_dDFE.Exponential,818,0.0071,0.037608842
13.08673,-44.24534,1.02029,Exp.Nes10_dDFE.Exponential,389,0.00251,0.0328476923
7.22709,-49.36909,0.96647,Exp.Nes10_dDFE.Exponential,270,0.00424,0.0306428616
5.76855,-46.62913,0.98733,Exp.Nes10_dDFE.Exponential,621,0.00537,0.0309771135
5.32855,-42.03131,1.08466,Exp.Nes10_dDFE.Exponential,937,0.00676,0.036020998
15.79984,-48.50887,0.93884,Exp.Nes10_dDFE.Exponential,102,0.00184,0.0290717056
6.15655,-45.55993,1.00713,Exp.Nes10_dDFE.Exponential,38,0.00566,0.034846073
2.40242,-42.02717,1.10188,Exp.Nes10_dDFE.Exponential,494,0.01289,0.0309671938
4.37605,-43.75974,1.07789,Exp.Nes10_dDFE.Exponential,331,0.00806,0.035270963
5.08434,-45.77778,1.00083,Exp.Nes10_dDFE.Exponential,695,0.006,0.03050604
10.68278,-45.89757,0.96802,Exp.Nes10_dDFE.Exponential,332,0.0028,0.029911784
7.94317,-46.74035,0.97381,Exp.Nes10_dDFE.Exponential,744,0.00411,0.0326464287
4.10698,-46.3596,1.03776,Exp.Nes10_dDFE.Exponential,760,0.0082,0.033677236
19.53534,-48.68904,0.94181,Exp.Nes10_dDFE.Exponential,899,0.00159,0.0310611906
8.63933,-50.73519,0.91776,Exp.Nes10_dDFE.Exponential,131,0.00349,0.0301512617
18.32955,-49.42771,0.90862,Exp.Nes10_dDFE.Exponential,185,0.00146,0.026761143
4.75278,-45.96475,1.00142,Exp.Nes10_dDFE.Exponential,354,0.00687,0.0326515986
6.21423,-49.13434,0.94697,Exp.Nes10_dDFE.Exponential,939,0.00447,0.0277776081
4.51486,-47.9051,1.00521,Exp.Nes10_dDFE.Exponential,312,0.00747,0.0337260042
9.54607,-46.18065,0.99496,Exp.Nes10_dDFE.Exponential,25,0.00332,0.0316929524
8.80071,-44.21811,1.01457,Exp.Nes10_dDFE.Exponential,430,0.00355,0.0312425205
5.84341,-43.36245,1.03664,Exp.Nes10_dDFE.Exponential,724,0.00553,0.0323140573
14.50041,-43.67348,1.01904,Exp.Nes10_dDFE.Exponential,223,0.00232,0.0336409512
