NeSa,S_d,b,model,number,pa,product
84.44531,-42.90241,0.94175,Exp.Nes100_dDFE.Exponential/,730,0.00315,0.2660027265
71.22951,-40.17361,0.98704,Exp.Nes100_dDFE.Exponential/,348,0.00386,0.2749459086
89.36861,-44.5966,0.91218,Exp.Nes100_dDFE.Exponential/,731,0.00301,0.2689995161
93.51484,-42.773,0.93495,Exp.Nes100_dDFE.Exponential/,805,0.00286,0.2674524424
98.47217,-40.33801,0.98297,Exp.Nes100_dDFE.Exponential/,715,0.00275,0.2707984675
88.50613,-40.7643,0.95662,Exp.Nes100_dDFE.Exponential/,256,0.00313,0.2770241869
98.76589,-45.27028,0.89867,Exp.Nes100_dDFE.Exponential/,402,0.00271,0.2676555619
52.09336,-43.4589,0.94398,Exp.Nes100_dDFE.Exponential/,576,0.00512,0.2667180032
77.19055,-40.99386,0.9998,Exp.Nes100_dDFE.Exponential/,438,0.00359,0.2771140745
80.42591,-40.39058,0.98142,Exp.Nes100_dDFE.Exponential/,98,0.00341,0.2742523531
91.90331,-39.57817,1.00162,Exp.Nes100_dDFE.Exponential/,61,0.00289,0.2656005659
68.85327,-40.85663,0.98604,Exp.Nes100_dDFE.Exponential/,82,0.004,0.27541308
99.50397,-42.28831,0.96396,Exp.Nes100_dDFE.Exponential/,745,0.00267,0.2656755999
99.96812,-43.11135,0.91309,Exp.Nes100_dDFE.Exponential/,740,0.00267,0.2669148804
95.63975,-39.40842,1.01019,Exp.Nes100_dDFE.Exponential/,761,0.00291,0.2783116725
69.88284,-43.79956,0.9342,Exp.Nes100_dDFE.Exponential/,294,0.00386,0.2697477624
75.09456,-41.20074,0.98065,Exp.Nes100_dDFE.Exponential/,739,0.00368,0.2763479808
53.01436,-38.9077,1.0556,Exp.Nes100_dDFE.Exponential/,992,0.00527,0.2793856772
91.1755,-41.85713,0.98306,Exp.Nes100_dDFE.Exponential/,973,0.00304,0.27717352
61.31538,-42.37575,1.0006,Exp.Nes100_dDFE.Exponential/,778,0.00455,0.278984979
74.76856,-42.16133,0.96055,Exp.Nes100_dDFE.Exponential/,376,0.0037,0.276643672
74.77549,-43.49276,0.95634,Exp.Nes100_dDFE.Exponential/,99,0.00364,0.2721827836
75.51476,-43.82704,0.94866,Exp.Nes100_dDFE.Exponential/,364,0.00354,0.2673222504
78.16665,-42.67798,0.95012,Exp.Nes100_dDFE.Exponential/,338,0.00357,0.2790549405
72.52461,-41.64602,1.00142,Exp.Nes100_dDFE.Exponential/,556,0.00378,0.2741430258
61.50737,-42.6185,0.95014,Exp.Nes100_dDFE.Exponential/,111,0.00445,0.2737077965
75.06222,-41.15432,0.94029,Exp.Nes100_dDFE.Exponential/,207,0.00364,0.2732264808
75.06296,-41.17208,0.98509,Exp.Nes100_dDFE.Exponential/,165,0.00363,0.2724785448
82.43002,-38.72869,1.01901,Exp.Nes100_dDFE.Exponential/,37,0.0033,0.272019066
88.05172,-39.27161,1.00049,Exp.Nes100_dDFE.Exponential/,580,0.00305,0.268557746
90.62312,-40.15809,1.0178,Exp.Nes100_dDFE.Exponential/,392,0.00301,0.2727755912
75.06306,-37.96528,1.05685,Exp.Nes100_dDFE.Exponential/,11,0.00376,0.2822371056
75.06305,-42.79278,0.97259,Exp.Nes100_dDFE.Exponential/,893,0.00368,0.276232024
