NeSa,S_d,b,model,number,pa,product
10.72891,-48.86853,0.97191,Exp.Nes100_dDFE.Exponential_div10/,379,0.00372,0.0399115452
6.87023,-41.09237,1.12338,Exp.Nes100_dDFE.Exponential_div10/,215,0.00621,0.0426641283
4.89008,-44.83555,1.07365,Exp.Nes100_dDFE.Exponential_div10/,6,0.0087,0.042543696
13.48192,-49.35033,0.95491,Exp.Nes100_dDFE.Exponential_div10/,986,0.00271,0.0365360032
11.29114,-47.59135,0.98738,Exp.Nes100_dDFE.Exponential_div10/,770,0.00348,0.0392931672
13.57589,-45.03865,1.0061,Exp.Nes100_dDFE.Exponential_div10/,985,0.00283,0.0384197687
47.93077,-50.06796,0.92559,Exp.Nes100_dDFE.Exponential_div10/,343,0.00071,0.0340308467
13.63633,-46.41378,1.01178,Exp.Nes100_dDFE.Exponential_div10/,265,0.00293,0.0399544469
31.13161,-46.01085,1.00034,Exp.Nes100_dDFE.Exponential_div10/,994,0.00131,0.0407824091
43.72518,-51.29093,0.91141,Exp.Nes100_dDFE.Exponential_div10/,703,0.00072,0.0314821296
6.41733,-46.00615,1.05232,Exp.Nes100_dDFE.Exponential_div10/,298,0.00632,0.0405575256
7.79828,-46.77427,0.98476,Exp.Nes100_dDFE.Exponential_div10/,957,0.00463,0.0361060364
36.68783,-50.04784,0.92348,Exp.Nes100_dDFE.Exponential_div10/,723,0.00097,0.0355871951
5.00614,-45.19627,1.04092,Exp.Nes100_dDFE.Exponential_div10/,473,0.00791,0.0395985674
14.83592,-47.14462,1.00712,Exp.Nes100_dDFE.Exponential_div10/,101,0.00278,0.0412438576
4.88147,-43.52304,1.06797,Exp.Nes100_dDFE.Exponential_div10/,573,0.00789,0.0385147983
12.90854,-45.33604,1.02994,Exp.Nes100_dDFE.Exponential_div10/,813,0.00316,0.0407909864
49.97425,-51.5423,0.89075,Exp.Nes100_dDFE.Exponential_div10/,336,0.00066,0.032983005
7.3701,-44.71684,1.05926,Exp.Nes100_dDFE.Exponential_div10/,502,0.00596,0.043925796
21.41054,-48.43351,0.921,Exp.Nes100_dDFE.Exponential_div10/,658,0.00143,0.0306170722
8.63933,-43.42666,1.06953,Exp.Nes100_dDFE.Exponential_div10/,674,0.00481,0.0415551773
6.38678,-44.28486,1.02633,Exp.Nes100_dDFE.Exponential_div10/,572,0.00632,0.0403644496
17.42604,-42.97507,1.03999,Exp.Nes100_dDFE.Exponential_div10/,282,0.00236,0.0411254544
75.06312,-50.17743,0.91923,Exp.Nes100_dDFE.Exponential_div10/,897,0.00048,0.0360302976
43.72519,-54.06061,0.89225,Exp.Nes100_dDFE.Exponential_div10/,380,0.00077,0.0336683963
97.32208,-49.24332,0.90114,Exp.Nes100_dDFE.Exponential_div10/,888,0.00031,0.0301698448
49.96669,-47.19678,0.97079,Exp.Nes100_dDFE.Exponential_div10/,266,0.00082,0.0409726858
27.13424,-47.67389,0.93893,Exp.Nes100_dDFE.Exponential_div10/,59,0.00129,0.0350031696
14.33717,-46.99637,0.97441,Exp.Nes100_dDFE.Exponential_div10/,700,0.00266,0.0381368722
16.70036,-42.45684,1.04615,Exp.Nes100_dDFE.Exponential_div10/,661,0.00225,0.03757581
10.17448,-46.11749,1.0217,Exp.Nes100_dDFE.Exponential_div10/,604,0.00394,0.0400874512
30.92679,-51.33236,0.92155,Exp.Nes100_dDFE.Exponential_div10/,615,0.00114,0.0352565406
9.43131,-46.5331,1.01138,Exp.Nes100_dDFE.Exponential_div10/,967,0.00452,0.0426295212
8.53554,-46.93074,1.0041,Exp.Nes100_dDFE.Exponential_div10/,884,0.00463,0.0395195502
13.89455,-43.99538,1.00711,Exp.Nes100_dDFE.Exponential_div10/,95,0.00265,0.0368205575
12.48729,-44.69036,0.99983,Exp.Nes100_dDFE.Exponential_div10/,880,0.00303,0.0378364887
10.72892,-46.63206,1.01979,Exp.Nes100_dDFE.Exponential_div10/,586,0.00399,0.0428083908
5.96914,-49.55212,0.97767,Exp.Nes100_dDFE.Exponential_div10/,936,0.00639,0.0381428046
9.62871,-45.72697,1.01477,Exp.Nes100_dDFE.Exponential_div10/,475,0.00416,0.0400554336
49.68968,-51.5597,0.89144,Exp.Nes100_dDFE.Exponential_div10/,381,0.00063,0.0313044984
43.36252,-49.39076,0.90489,Exp.Nes100_dDFE.Exponential_div10/,787,0.00082,0.0355572664
4.88155,-43.54601,1.12633,Exp.Nes100_dDFE.Exponential_div10/,578,0.00913,0.0445685515
9.48297,-45.03353,1.01082,Exp.Nes100_dDFE.Exponential_div10/,456,0.00408,0.0386905176
49.18236,-48.93408,0.93284,Exp.Nes100_dDFE.Exponential_div10/,314,0.00071,0.0349194756
4.89013,-43.41415,1.10282,Exp.Nes100_dDFE.Exponential_div10/,167,0.00886,0.0433265518
43.83885,-48.31695,0.91565,Exp.Nes100_dDFE.Exponential_div10/,362,0.00075,0.0328791375
12.6608,-46.76496,1.00001,Exp.Nes100_dDFE.Exponential_div10/,269,0.00317,0.040134736
13.85942,-46.9521,0.98738,Exp.Nes100_dDFE.Exponential_div10/,561,0.0028,0.038806376
34.70314,-45.79155,0.9687,Exp.Nes100_dDFE.Exponential_div10/,129,0.00106,0.0367853284
17.60232,-44.18247,1.05829,Exp.Nes100_dDFE.Exponential_div10/,463,0.00244,0.0429496608
17.72875,-45.70146,1.00045,Exp.Nes100_dDFE.Exponential_div10/,914,0.00223,0.0395351125
5.25067,-46.07602,1.04154,Exp.Nes100_dDFE.Exponential_div10/,134,0.00748,0.0392750116
