NeSa,S_d,b,model,number,pa,product
1.06601,-45.73809,1.01178,Exp.Nes10_dDFE.Exponential_div10/,156,0.00626,0.0066732226
1.33596,-46.1658,1.00713,Exp.Nes10_dDFE.Exponential_div10/,325,0.00624,0.0083363904
9.53563,-43.88457,1.00518,Exp.Nes10_dDFE.Exponential_div10/,125,0.00103,0.0098216989
0.03375,-44.09087,1.14641,Exp.Nes10_dDFE.Exponential_div10/,546,0.02012,0.00067905
22.65841,-43.92632,1.00143,Exp.Nes10_dDFE.Exponential_div10/,143,0.00036,0.0081570276
7.79567,-47.51568,0.93916,Exp.Nes10_dDFE.Exponential_div10/,260,0.00106,0.0082634102
0.17205,-48.9142,0.95885,Exp.Nes10_dDFE.Exponential_div10/,368,0.00758,0.001304139
37.9745,-44.73309,0.99332,Exp.Nes10_dDFE.Exponential_div10/,737,0.00025,0.009493625
0.19124,-47.31707,0.99949,Exp.Nes10_dDFE.Exponential_div10/,602,0.0109,0.002084516
0.14585,-48.11257,0.96035,Exp.Nes10_dDFE.Exponential_div10/,255,0.0079,0.001152215
0.00902,-42.53072,1.23002,Exp.Nes10_dDFE.Exponential_div10/,701,0.0256,0.000230912
2.53392,-42.41511,1.08668,Exp.Nes10_dDFE.Exponential_div10/,239,0.00477,0.0120867984
3.1145,-44.03346,1.01051,Exp.Nes10_dDFE.Exponential_div10/,174,0.00265,0.008253425
0.26617,-46.69874,1.01198,Exp.Nes10_dDFE.Exponential_div10/,232,0.01175,0.0031274975
0.20052,-47.85238,0.99934,Exp.Nes10_dDFE.Exponential_div10/,569,0.01119,0.0022438188
0.02451,-43.19608,1.20423,Exp.Nes10_dDFE.Exponential_div10/,657,0.02158,0.0005289258
0.12356,-45.10291,1.08708,Exp.Nes10_dDFE.Exponential_div10/,499,0.0149,0.001841044
0.00581,-41.4378,1.24406,Exp.Nes10_dDFE.Exponential_div10/,927,0.02316,0.0001345596
2.35612,-46.18816,1.01195,Exp.Nes10_dDFE.Exponential_div10/,225,0.00533,0.0125581196
0.09892,-53.77307,0.85186,Exp.Nes10_dDFE.Exponential_div10/,291,0.00042,4.15464e-05
1.08437,-40.42359,1.14566,Exp.Nes10_dDFE.Exponential_div10/,409,0.00905,0.0098135485
0.16044,-48.87882,0.9776,Exp.Nes10_dDFE.Exponential_div10/,471,0.01018,0.0016332792
