gamma_a,p_a,pi/pi_0,dS,dN,dN/dS
5,0.01,0.939672,0.0053284,0.0015904,0.29847609
10,0.005,0.914371579,0.0052608,0.0015704,0.298509732
25,0.002,0.880441053,0.0052676,0.001592,0.302224922
50,0.001,0.861462316,0.0052512,0.001620533,0.308602478
100,0.0005,0.843647368,0.0053068,0.001594267,0.300419587
200,0.00025,0.818853474,0.0052288,0.0015468,0.295823133
400,0.000125,0.794626316,0.005274,0.001555,0.294842624
