Divergence,Sb,Sb_est,pa,pa_est,Product,Prop. Significant
+,5,11.196995 [5.5685915 - 19.98662275],0.01,0.008555 [0.0043925 - 0.0199312499999999],0.0953685617 [0.0837807968875 - 0.115398440519999],1
-,5,3.96696 [1.1309865 - 27.1574437499999],0.01,0.020125 [0.00472125 - 0.0706079999999999],0.0827461672 [0.0616459013575 - 0.154683189217499],1
+,10,16.588155 [9.199874 - 37.4238299999999],0.005,0.00567499999999999 [0.00240875 - 0.0106614999999999],0.0948445289 [0.0822018549825 - 0.107728060657499],1
-,10,19.862545 [2.90010474999999 - 37.42992525],0.005,0.005325 [0.00289425 - 0.0207147499999999],0.10628623625 [0.045380694255 - 0.193372478729999],0.97
+,25,37.42532 [21.56432 - 41.8346029999999],0.002,0.00257 [0.0020235 - 0.00467049999999999],0.0950753179499999 [0.08084693106 - 0.1062378562175],1
-,25,37.31788 [1.87386 - 65.5387519999997],0.002,0.002655 [0.0012475 - 0.0146297499999999],0.0716906267 [0.0111804064875 - 0.144569052724999],0.86
+,50,37.425515 [37.4033825 - 1525.61597049999],0.001,0.002485 [0.00007375 - 0.00282674999999999],0.0937553836 [0.0795136888725 - 0.1072425915975],1
-,50,0.322659999999999 [0.0370525 - 1.24961224999999],0.001,0.00258499999999999 [0.000524749999999999 - 0.0941364999999999],0.00102419549999999 [0.0000620224225 - 0.0136520210474999],0
+,100,37.427715 [37.39344125 - 1696.64732424997],0.0005,0.00251 [0.00022 - 0.00282524999999999],0.09469662235 [0.073781994555 - 0.10630992993],1
-,100,0.27151 [0.0054585 - 1.91126999999999],0.0005,0.012235 [0.00069 - 0.1380785],0.0030997538 [0.000103596779999999 - 0.0294028164124999],0.07
+,200,37.42834 [32.6948412499999 - 37.4299305],0.00025,0.00245 [0.00199425 - 0.00282674999999999],0.09186369475 [0.0775582170774999 - 0.101804171559999],1
-,200,12.2986 [0.28743875 - 66.5649239999999],0.00025,0.00211499999999999 [0.00078325 - 0.0104359999999999],0.03375530755 [0.0002499889375 - 0.0983658472649998],0.22
+,400,37.428065 [32.897271 - 37.4299305],0.000125,0.00222 [0.00185475 - 0.00264024999999999],0.0830897493 [0.0701337440475 - 0.093567845],1
-,400,1.745785 [0.111381 - 42.9840622499999],0.000125,0.002395 [0.000342749999999999 - 0.0293017499999999],0.0134360939 [0.0000515117975 - 0.0649022891949999],0.12
