Map,Element,2Nesa_1,sa_2,pa_1,2Nesa_2,sa_2,pa_2,MutRate,Sites,Wa1,Wa2,Sum,Ratio
castaneus,Exon,8469.3783,9.87225E-05,2.22E-05,22.3425204,6.87033E-10,0.02015683,5.40E-09,2.40E+07,2.84E-10,1.79E-12,2.86E-10,3.29E+00
castaneus,CNE,431.572447,2.56342E-07,0.00112446,14.5240432,2.90328E-10,0.02976315,5.40E-09,5.42E+07,8.44E-11,2.53E-12,8.69E-11,-
Cox,Exon,4100.28963,2.31389E-05,2.45E-05,117.218521,1.89106E-08,6.16E-04,5.40E-09,2.40E+07,7.34E-11,1.51E-12,7.50E-11,2.98E+00
Cox,CNE,357.123258,1.75529E-07,4.77E-04,5.95253254,4.87659E-11,0.04544216,5.40E-09,5.42E+07,2.45E-11,6.49E-13,2.51E-11,-
,,,,,,,,,,,,,
,,,,,,,,,,,,,
