label,key,start,mid,end,pi,xsi,pi2,fwh,theta_W,tajima,KZl,sites
real,1140,1139,1139,1140,0.00785258492702,0.750247259459,0.256513722872,0.00791811795439,0.00782607489019,0.0109609304473,-0.0142331404166,4693341
real,210,209,209,210,0.00772535435281,0.75108227003,0.254362844586,0.00777796917078,0.00768771559797,0.0158426366935,-0.0116333456731,51573048
real,1260,1259,1259,1260,0.00784543112507,0.753266245338,0.251426938279,0.00790360636451,0.00780490221783,0.0168025517461,-0.0126692695478,3479482
real,660,659,659,660,0.0078145792014,0.751178483221,0.254106739855,0.00785040035532,0.00776938966805,0.0188208033475,-0.00783689378594,13814439
real,2220,2219,2219,2220,0.0076276285364,0.754738908626,0.248261194833,0.00768920023719,0.00773926636464,-0.0466492003219,-0.0135141863396,171034
real,690,689,689,690,0.00783850665833,0.750279812303,0.253833414091,0.0078483620033,0.00778787315772,0.0210380805379,-0.00215101807343,13062585
real,1770,1769,1769,1770,0.00790727518731,0.746776199472,0.257735970662,0.00785302868304,0.00784318647885,0.0264379380503,0.0117548347374,840496
real,540,539,539,540,0.00778217976357,0.751218197798,0.252486535533,0.00779005678255,0.00775434030994,0.0116172646363,-0.00172666961589,18707253
real,2400,2399,2399,2400,0.00778436509324,0.753900208152,0.256102558373,0.00793677355874,0.00787208185028,-0.0360253953014,-0.0328774629258,115675
real,810,809,809,810,0.00780508728801,0.750282784436,0.252792878704,0.00777963614782,0.00778855396144,0.00686893516848,0.00555444118605,10011517
real,930,929,929,930,0.0078772365252,0.747783200335,0.254724330449,0.00783794404609,0.00779015738764,0.0361703344439,0.00857337145811,7624787
real,2010,2009,2009,2010,0.00793915356909,0.750231778988,0.241887416987,0.00771122828629,0.00787647198144,0.0257429389897,0.0491699238033,308374
real,2910,2909,2909,2910,0.00769225655747,0.770546751189,0.262262269062,0.00856777388183,0.00787858219657,-0.0760897305384,-0.187693345272,17311
real,2460,2459,2459,2460,0.00818821822567,0.757135689387,0.233039084481,0.00793334091893,0.00800607143683,0.0735371096951,0.0540464202231,87665
real,990,989,989,990,0.00788524716697,0.750962244005,0.255300572892,0.00794405783746,0.0077995869849,0.0355378333322,-0.0128165686779,6412505
real,2850,2849,2849,2850,0.00801697056712,0.761061571125,0.262010594897,0.00884591529074,0.00764998036371,0.154106160106,-0.182704015462,14000
real,2700,2699,2699,2700,0.00881377803855,0.749035980425,0.241739026318,0.00864890124553,0.00833035052617,0.187373633528,0.0335611004905,43046
real,120,119,119,120,0.007659905005,0.749756015022,0.253436042151,0.00765005879718,0.00762274832033,0.0157730341275,0.00219559213956,86489120
real,1950,1949,1949,1950,0.0079037719845,0.752080881923,0.248360818622,0.00784093143219,0.00790293599805,0.000342221734485,0.0135127091879,461583
real,2550,2549,2549,2550,0.00749413320055,0.754443466324,0.237890215082,0.00711087852692,0.00762975496338,-0.0573986595484,0.0851851827825,49208
real,60,59,59,60,0.00751181140029,0.750844698851,0.253806532037,0.00753053783561,0.00752082284822,-0.00387721011965,-0.004232376421,170783058
real,2490,2489,2489,2490,0.00788632179361,0.753872493053,0.252594142255,0.00802858940329,0.00762328579989,0.111455411289,-0.0316600978504,58653
real,2310,2309,2309,2310,0.00770013724394,0.76248806859,0.244556597401,0.00788941816341,0.00775032218069,-0.0209355975227,-0.0414747327835,122721
real,1410,1409,1409,1410,0.00802526383774,0.744446568395,0.2502054817,0.00782600195552,0.00783182450083,0.0799195388373,0.0432448814991,2262822
real,2790,2789,2789,2790,0.00901086077344,0.733912750817,0.257751350096,0.00876019482749,0.00838977798535,0.238306305767,0.0504937680226,17961
real,1380,1379,1379,1380,0.00777267915618,0.748307589648,0.251642145563,0.0076743136724,0.00774429732129,0.0118585476484,0.0215891870113,2543286
real,2250,2249,2249,2250,0.00777890607773,0.747264340335,0.23867280336,0.00745019223468,0.00777702266916,0.000783126808004,0.0717923162052,151550
real,1320,1319,1319,1320,0.00786143555224,0.749843349196,0.256156657024,0.00792362762094,0.00779223284725,0.0287367115613,-0.0135660008884,3028842
real,1080,1079,1079,1080,0.00787861446598,0.75094618476,0.25337522801,0.00789206497068,0.00782182604594,0.0234927388165,-0.00292291347694,5216333
real,1920,1919,1919,1920,0.00797468953091,0.743741107807,0.256208651724,0.00782992698633,0.00779871583368,0.0729992616127,0.0315442837194,453167
real,390,389,389,390,0.00776148255961,0.749503372163,0.253219493777,0.00773859244179,0.00772004934759,0.0173667003571,0.00503988933469,27643638
real,2820,2819,2819,2820,0.00856053038644,0.81946732609,0.23125510628,0.0107776096874,0.00856250261847,-0.0007340056853,-0.432716624719,5906
real,1710,1709,1709,1710,0.00785764394871,0.744355233491,0.256713457457,0.00775139845541,0.00775196486222,0.0441086621636,0.0232940471787,1006446
real,300,299,299,300,0.00772073030746,0.750817453812,0.252143480874,0.00771240188347,0.00769634484868,0.0102526382426,0.00183938161682,38145061
real,420,419,419,420,0.00775421316294,0.751418518683,0.253776808175,0.0077940124188,0.00773501073782,0.00803311214682,-0.00874594924513,25748109
real,1650,1649,1649,1650,0.00793154368607,0.745701022364,0.256978545202,0.00788825749737,0.00780019282284,0.0544858801993,0.00943194077928,1286968
real,2070,2069,2069,2070,0.00801756611639,0.75230897109,0.260836813775,0.00820052861818,0.00795611048759,0.0249847789256,-0.0390715763007,244080
real,360,359,359,360,0.00777924737871,0.749487762921,0.252907278653,0.00773830612557,0.00773681719927,0.0177460399051,0.00899481003116,30145427
real,1230,1229,1229,1230,0.00787296601256,0.751444659937,0.249504190336,0.00781912688007,0.00782493326298,0.0198625400267,0.0116949524005,3516967
