"","label","mid","pi","xsi","pi2","fwh","theta_W","tajima","sites","B","Bsmooth"
"190","real",-1e-12,0.0069520231511,0.754962989812,0.247456505158,0.00692420235231,0.00721739285806,-0.118975943476,21242229,0.83759315073494,0.843244714807376
"29","real",-0.0593060052991,0.00703462668981,0.752580307705,0.250517214011,0.00701016860553,0.00724796218273,-0.0952430017782,10450483,0.847545384314458,0.848090646214284
"198","real",0.0593060052991,0.00701809983617,0.753681033354,0.247779625639,0.00697382295039,0.0072500568494,-0.103526623076,10622805,0.845554197128916,0.848090646214284
"36","real",0.122129212863,0.00709150431302,0.751898524272,0.249138592454,0.00702786391483,0.00729204881098,-0.0889912087642,10489224,0.85439811000241,0.852851957573781
"39","real",-0.122129212863,0.00709474048643,0.751571102677,0.25077786794,0.00706320670855,0.00727741303896,-0.0812235846036,10412075,0.854788010413253,0.852851957573781
"21","real",-0.188678213907,0.00712605714642,0.752331530751,0.251559159578,0.00712058441414,0.0073025360292,-0.0781996768298,10472808,0.858561101978313,0.857530886291407
"178","real",0.188678213907,0.00711078687261,0.752481529507,0.248258866559,0.00705141274319,0.00728057141169,-0.075460318187,10592829,0.856721309953012,0.857530886291407
"5","real",0.25917397036,0.00717098849264,0.751079237388,0.25039777481,0.00711576884289,0.00731549892267,-0.0639206721794,10867339,0.863974517185542,0.862129598404463
"192","real",-0.25917397036,0.00719873846691,0.751430663099,0.25139041428,0.00717634300734,0.00732979693234,-0.057857441897,10850647,0.867317887579518,0.862129598404463
"71","real",0.333850548519,0.00721931082986,0.751181669262,0.251192263994,0.0071833923255,0.00736250541386,-0.0629342500344,10812271,0.869796485525301,0.86656363552829
"121","real",-0.333850548519,0.00722831209478,0.752582357977,0.251707027048,0.00724230541402,0.00736026108518,-0.0580094745015,10774043,0.870880975274699,0.86656363552829
"25","real",0.412955896217,0.00725600422422,0.751864362752,0.249221493565,0.00720336938685,0.00737738058895,-0.0532375597624,11066622,0.874217376412048,0.870789858166928
"196","real",-0.412955896217,0.00726241122701,0.750894462173,0.251867396008,0.007223712249,0.0073935658828,-0.0574005358925,10986895,0.874989304459036,0.870789858166928
"74","real",0.496752666086,0.00727182737936,0.751939787748,0.250807000696,0.00725128520144,0.00739963021011,-0.0558877596169,11141450,0.876123780645783,0.874824834381306
"118","real",-0.496752666086,0.00728874471174,0.752468843321,0.252003255245,0.00731179939514,0.00739970981668,-0.0485241507032,11034194,0.878162013462651,0.874824834381306
"7","real",0.585519087632,0.00727599347916,0.752228938512,0.250602062112,0.00726776492674,0.00740244615088,-0.055276290792,10864755,0.876625720380723,0.878462419818144
"189","real",-0.585519087632,0.00729847692825,0.751791009041,0.251629969687,0.00729300448167,0.00740760539398,-0.0476701378912,11007745,0.879334569668675,0.878462419818144
"34","real",-0.679549891045,0.00731577320144,0.751825352243,0.250882487571,0.00729786002703,0.00742921130357,-0.0494085869945,10962118,0.881418458004819,0.881587316146632
"165","real",0.679549891045,0.0073139456628,0.751309465483,0.251802544906,0.00729483482373,0.00743105834044,-0.0509963916915,11000156,0.881198272626506,0.881587316146632
"94","real",-0.779157285784,0.00732792838511,0.750355997347,0.251877931357,0.00728283253481,0.00742462407485,-0.0421423535879,10833035,0.88288293796506,0.884436626540319
"98","real",0.779157285784,0.00734456097413,0.751200431684,0.252395989313,0.00734352047185,0.00745059257291,-0.046050106936,10815708,0.884886864353012,0.884436626540319
"56","real",0.884671997202,0.00733608446265,0.750741280326,0.253035111212,0.00732807807756,0.00742973349939,-0.0407864700618,10579659,0.883865597909638,0.886423987929419
"144","real",-0.884671997202,0.00738962508542,0.751679027009,0.253003451915,0.00740662955823,0.00745606481245,-0.0288339572655,10649879,0.890316275351807,0.886423987929419
"81","real",-0.996444364655,0.00735319422609,0.751142331856,0.252012283615,0.00733824294271,0.00743789201499,-0.0368475219916,10669009,0.885927015191566,0.88736463597393
"111","real",0.996444364655,0.00738069713086,0.750180113917,0.251301793674,0.00732863903114,0.00746124200872,-0.0349311508629,10663256,0.889240618175904,0.88736463597393
"93","real",1.11484550472,0.00734679912453,0.752472912692,0.250107556505,0.00733592963451,0.0074400318745,-0.0405489594142,10501942,0.885156521027711,0.888487935246924
"99","real",-1.11484550472,0.00735967377981,0.751638075781,0.250948836683,0.00733302092542,0.00745550578445,-0.04159292728,10503737,0.886707684314458,0.888487935246924
"11","real",-1.24026854343,0.00736970834823,0.751500526736,0.25280327402,0.00737779463563,0.00745447319888,-0.0367946788172,10872914,0.887916668461446,0.889968582347353
"187","real",1.24026854343,0.00738915051671,0.751325838666,0.251096342117,0.00736059058329,0.00746497300059,-0.0328666878915,10862137,0.890259098398795,0.889968582347353
"32","real",1.37312992154,0.00742155588875,0.751291185798,0.251618111258,0.0074066781676,0.00749134840709,-0.0301463728382,10869897,0.894163360090361,0.891131215555223
"167","real",-1.37312992154,0.00736783450506,0.75176517823,0.25114143093,0.00735726969553,0.00746172801591,-0.0407176129901,10794935,0.887690904224096,0.891131215555223
"23","real",1.51387077725,0.0074168894869,0.750807600055,0.254499674117,0.00744053378718,0.00747945827871,-0.0270691005264,10907028,0.893601143,0.89239156684808
"175","real",-1.51387077725,0.0073802666195,0.751426799985,0.252443501862,0.00737429137705,0.00747035641799,-0.0390229871449,10968273,0.889188749337349,0.89239156684808
"107","real",1.66295841088,0.00741638673846,0.75111707724,0.251221427541,0.00738414040256,0.00748787790974,-0.0308944096468,11007915,0.893540570898795,0.893806392062185
"191","real",-1.66295841088,0.00744674580173,0.751636451176,0.251058919305,0.00743547610776,0.00750484787294,-0.0250516298263,11040969,0.89719828936506,0.893806392062185
"82","real",-1.82088783651,0.00743630508906,0.751648478779,0.251556254865,0.00743069885884,0.00749564960019,-0.0256187300999,11199672,0.895940372175904,0.895153927629202
"110","real",1.82088783651,0.00744080378499,0.750554986691,0.251768588092,0.00741395886722,0.00749175655155,-0.0220074862599,11227174,0.896482383733735,0.895153927629202
"31","real",-1.98818342549,0.00741504899194,0.751063168939,0.254428130446,0.00743736012418,0.00747806337659,-0.0272669743662,11432664,0.893379396619277,0.89659146748474
"168","real",1.98818342549,0.00744732025138,0.752172369931,0.253270895235,0.00748341140013,0.00751059734514,-0.0272620473198,11471352,0.897267500166265,0.89659146748474
"30","real",2.16540064756,0.00746237714869,0.751385120628,0.252997677011,0.00748180157883,0.00752297505021,-0.0260648037819,11670482,0.899081584179518,0.898171558365298
"169","real",-2.16540064756,0.00740585269415,0.7521792634,0.253290693488,0.00743856582496,0.00748836663489,-0.0356555150353,11689766,0.892271408933735,0.898171558365298
"103","real",-2.35312791513,0.00748965172317,0.750380148756,0.253538765979,0.00748379773456,0.00752348876104,-0.0145532346108,11590225,0.902367677490362,0.899794354993729
"147","real",2.35312791513,0.00747895929513,0.750687586027,0.251298665265,0.00744510246402,0.00751057592776,-0.0136216218244,11542752,0.901079433148193,0.899794354993729
"13","real",-2.55198853704,0.0074889568214,0.751653299874,0.252798384402,0.00752340714355,0.00753025213477,-0.0177450735592,11840118,0.902283954385542,0.901425831216213
"184","real",2.55198853704,0.00748387238806,0.751130474328,0.252930648324,0.00749207852259,0.00751143676859,-0.0118744023858,11822740,0.901671372055422,0.901425831216213
"90","real",-2.76264278804,0.00746717443341,0.751711804335,0.251260834201,0.0074582352852,0.00752546283479,-0.025063140628,11866048,0.899659570290361,0.903063651316134
"182","real",2.76264278804,0.00750215274466,0.749805753635,0.254400877437,0.00750101348184,0.00753073459717,-0.0122811656702,11847386,0.903873824657831,0.903063651316134
"6","real",2.98579010116,0.00750850405926,0.751482408798,0.253904752633,0.00755543144494,0.00753461331056,-0.0112129557204,12155472,0.904639043284337,0.904691193962607
"194","real",-2.98579010116,0.00751512683207,0.750677749027,0.25405587855,0.00752338506291,0.00754753863298,-0.0138958304142,12233557,0.905436967719277,0.904691193962607
