,mid,label,pi,fam_div_jc,rat_div_jc,tajima,sites
0,0.0,all,0.00646373176875,0.035322789277,0.189287965864,-0.179234968928,2111008
1,0.0842325581076,all,0.00610940099921,0.0348207076136,0.183217431404,-0.236841597404,1755810
2,0.17556024006,all,0.00576464726246,0.033908733209,0.177432772659,-0.332351021329,2056065
3,0.27458068629,all,0.00543892069375,0.0338569622357,0.175165628735,-0.415127449092,2345296
4,0.381941878011,all,0.00537313873072,0.0339811049823,0.172373632593,-0.461765758767,2487419
5,0.498346377552,all,0.00572139259473,0.0341403228331,0.17259232766,-0.40191852331,2707151
6,0.624555925864,all,0.00567906519729,0.0343871116015,0.173471244099,-0.449564202006,2866289
7,0.761396427289,all,0.00572341807623,0.0344911892351,0.172563893684,-0.464378178182,2888332
8,0.909763354201,all,0.00568506070206,0.0340718945752,0.171619036546,-0.495042058964,3316466
9,1.07062760691,all,0.00574784348963,0.0343342221755,0.171182467574,-0.472468586697,3480672
10,1.24504186712,all,0.00588008126264,0.0344932737951,0.171106721213,-0.492057436584,3472017
11,1.43414748665,all,0.00602089317511,0.0346119420494,0.17135497725,-0.485163046768,3784963
12,1.63918195626,all,0.00606775039526,0.0346878315532,0.170753301089,-0.493172229857,3988773
13,1.86148700375,all,0.00598473893833,0.0345584576078,0.169847056378,-0.535634862854,4152322
14,2.10251737407,all,0.00623341783822,0.0345344199106,0.170672653793,-0.480467271999,4235528
15,2.36385034906,all,0.00614386958224,0.0344145721697,0.168765410988,-0.512754628271,4423976
16,2.64719606905,all,0.00624941149459,0.0346943179906,0.169264896596,-0.51667937233,4602985
17,2.95440872386,all,0.00638190377723,0.0345608361167,0.168716966381,-0.501041782148,4902769
18,3.28749868648,all,0.00654524363803,0.0349066355945,0.1691754529,-0.485277522558,4920547
19,3.64864566872,all,0.00658633602817,0.0349664247376,0.169228557882,-0.506161924725,5081044
20,4.04021298514,all,0.00660986681979,0.0347658940102,0.168901595885,-0.504739425999,5544968
21,4.46476301828,all,0.00671783303963,0.0350500899696,0.169693750265,-0.503005605239,5609091
22,4.92507398676,all,0.00689572722177,0.035301655724,0.168819370349,-0.499957773652,5796820
23,5.42415812564,all,0.00694785261873,0.0350626753765,0.168657353118,-0.485890113778,5633193
24,5.96528139825,all,0.00703578517909,0.0352975881323,0.169560930346,-0.496734715864,5543324
25,6.55198486837,all,0.00696683636525,0.0353612959485,0.169849163019,-0.503519489202,5503287
26,7.18810787262,all,0.00717872448244,0.0354695505237,0.169131092167,-0.472573705902,5706576
27,7.87781314479,all,0.00721491838941,0.0354397416687,0.169712880899,-0.484323797543,5632599
28,8.62561405638,all,0.00718092958237,0.0355544158496,0.169321880983,-0.500336070007,5606161
29,9.4364041517,all,0.00722752269288,0.0358771297114,0.169400142712,-0.50698403802,5529488
30,10.3154891708,all,0.0072378416817,0.0356354984277,0.169341819952,-0.482432154799,5348318
31,11.2686217699,all,0.00711142864697,0.0354427923475,0.169670767154,-0.482954743049,5366544
32,12.3020391661,all,0.00712965710544,0.0356696006716,0.169489831509,-0.507637738925,5482583
33,13.4225039531,all,0.00711151884454,0.0354483636231,0.170342684468,-0.495566432728,5237340
34,14.6373483554,all,0.00709649406012,0.0354049780064,0.169248377796,-0.484563762677,5364652
35,15.9545222094,all,0.00719127522879,0.0356394667899,0.169355785793,-0.492194298513,5410743
36,17.3826449866,all,0.00718471478415,0.0354967629398,0.170017343246,-0.487868629394,5310984
37,18.9310621986,all,0.00724554799777,0.0356555334321,0.169851623418,-0.484461957563,5426225
38,20.6099065533,all,0.00721198591042,0.0356387450567,0.169214780715,-0.500221834928,5667363
39,22.4301642628,all,0.00721525270822,0.0357102825755,0.170578114622,-0.494992347619,5386416
40,24.4037469355,all,0.00732910511262,0.035719919178,0.169811084471,-0.478904892329,5881691
41,26.5435695254,all,0.00732273278052,0.0355565894505,0.169036355553,-0.487116487739,5709262
42,28.863634846,all,0.00735079514734,0.0357103782116,0.169411627407,-0.486240556044,5884401
43,31.3791252034,all,0.00749170536692,0.0358264395793,0.169403336752,-0.470556222583,5982927
44,34.1065017486,all,0.00737230414206,0.0358525911377,0.16958352997,-0.485902150265,5890318
45,37.0636121971,all,0.00741311520219,0.0359296263641,0.169339844885,-0.50443135539,6142450
46,40.2698076233,all,0.00752585508349,0.0359562744766,0.169737688074,-0.471390742353,6201809
47,43.746069092,all,0.00749985268923,0.0359120995195,0.169308252417,-0.481996099722,6312291
48,47.5151449569,all,0.00759761735886,0.0359713575292,0.169991856057,-0.476031902266,6324746
49,51.6016997235,all,0.00763936286057,0.0360768596779,0.170926790421,-0.462519633538,6446088
50,56.0324754521,all,0.00771452793829,0.0359987038749,0.170342819272,-0.46175904109,6626812
51,60.8364667546,all,0.0077039575619,0.0361572120033,0.170135834728,-0.466909228425,6740636
52,66.0451105337,all,0.00779390054138,0.0362498939663,0.17034499947,-0.452507730887,6695923
53,71.6924917025,all,0.0077302334689,0.0361427992727,0.169735609555,-0.469460108065,6764203
54,77.8155662338,all,0.00780368012455,0.0362038911106,0.170161921989,-0.467000954284,7013587
55,84.4544029964,all,0.00778657955594,0.0361917522584,0.170209850284,-0.473413221639,7057120
56,91.6524459623,all,0.00789784215808,0.0363523373442,0.170158335645,-0.455065608492,7334621
57,99.4567985007,all,0.00791821436174,0.0363193739351,0.169896769857,-0.463599189202,7207903
58,107.918531618,all,0.00791694612313,0.0361976114732,0.169890539396,-0.470855924877,7351834
59,117.093018161,all,0.00798056045114,0.0363447566265,0.169875989577,-0.464503865044,7481471
