,mid,label,pi,fam_div_jc,rat_div_jc,tajima,sites
0,0.0,autosome,0.00645585390623,0.0353327302335,0.189450389105,-0.181799058923,2225224
1,0.0898675886359,autosome,0.00612190549701,0.0347916961718,0.18192147888,-0.230861095283,1913901
2,0.187811360759,autosome,0.00571672466441,0.0338352229972,0.177068977996,-0.351069478097,2150870
3,0.294557103505,autosome,0.00526015036217,0.0336510274587,0.173908150165,-0.447722197267,2621488
4,0.410895828748,autosome,0.00563198265096,0.0343507788545,0.172715344499,-0.424547185764,2618388
5,0.537689634694,autosome,0.00562667362752,0.0340618217354,0.172522757519,-0.426607841588,3042379
6,0.675878094234,autosome,0.00571054392432,0.0345789445848,0.174362119259,-0.461379731745,3008411
7,0.826485217411,autosome,0.00565401213557,0.0340345751902,0.17107964583,-0.475706615603,3362877
8,0.990627039579,autosome,0.00582772996247,0.0345522076361,0.172610367936,-0.473812678878,3512516
9,1.1695198915,autosome,0.00578033660394,0.0342049468154,0.170125814477,-0.497707545525,3790627
10,1.36448941265,autosome,0.00594597903986,0.0346879501008,0.170726131551,-0.49472750432,4024927
11,1.57698037451,autosome,0.00605643350234,0.0345758924589,0.171298926875,-0.483167454071,4163682
12,1.80856738673,autosome,0.00600004928139,0.0346087458483,0.170318243518,-0.526713610708,4380857
13,2.0609665653,autosome,0.00621678133832,0.0344799464664,0.17019392916,-0.489377928978,4391654
14,2.33604824942,autosome,0.00616927096436,0.0345142431995,0.169187791125,-0.506037123085,4722026
15,2.63585086117,autosome,0.00625252433934,0.0346279129955,0.169302857506,-0.513014549442,4899015
16,2.9625960107,autosome,0.00638158265676,0.0346125757087,0.168617857149,-0.501475506998,5249832
17,3.31870495892,autosome,0.00653808033837,0.034924292012,0.169515659592,-0.490959942988,5210319
18,3.70681655961,autosome,0.00662740891213,0.0349153475644,0.168934486397,-0.490384401294,5458669
19,4.12980681397,autosome,0.00660545731961,0.0348494287196,0.16884957113,-0.521707839983,6003406
20,4.59081018251,autosome,0.00679093764116,0.035138793606,0.169729824898,-0.500497514061,6115617
21,5.09324281214,autosome,0.00692369035996,0.0351914352307,0.168916257872,-0.489480592746,5967176
22,5.64082785063,autosome,0.00693497337104,0.0351641668224,0.168773212698,-0.499048538486,5848124
23,6.23762303612,autosome,0.00704999974164,0.0353420593609,0.169628866945,-0.493104780138,6030048
24,6.88805076583,autosome,0.00706705714235,0.0353070838243,0.169160726604,-0.49224335523,6012280
25,7.59693086719,autosome,0.00723375922311,0.0356042191343,0.170483223339,-0.471654955153,5889482
26,8.36951631389,autosome,0.0071689622221,0.035422569315,0.168941031714,-0.500380963285,6024380
27,9.21153215171,autosome,0.00721565281711,0.0358713150536,0.169526853577,-0.497688283306,5774175
28,10.1292179225,autosome,0.00723000692622,0.0356111690237,0.169050311456,-0.497067573567,5805781
29,11.1293739006,autosome,0.00714752804241,0.0355006438374,0.169621583217,-0.478235352621,5775642
30,12.2194114847,autosome,0.00713681432561,0.0356685314601,0.169571697236,-0.505004708661,5833123
31,13.407408118,autosome,0.00711735636307,0.035438783349,0.170390223013,-0.495323694211,5565435
32,14.702167144,autosome,0.00708908625392,0.0354326986837,0.169190856851,-0.484793429883,5672382
33,16.1132830416,autosome,0.00723835781464,0.0356604172225,0.169449591735,-0.487316840322,5811505
34,17.6512125222,autosome,0.00715987851871,0.0354478559092,0.170069917827,-0.493201396451,5626892
35,19.3273520167,autosome,0.00722437194788,0.0357067707503,0.169596965878,-0.48304956735,5802590
36,21.1541221258,autosome,0.00720360322781,0.0356192411931,0.169490879213,-0.508193476148,6028174
37,23.1450596596,autosome,0.00726014621483,0.0356230387444,0.170130528245,-0.486237486369,5968622
38,25.3149179487,autosome,0.00733543970224,0.0358437353939,0.170042494342,-0.478696093325,6094449
39,27.6797761699,autosome,0.00730854166315,0.0355969418326,0.168872585767,-0.491784284876,6128653
40,30.2571584969,autosome,0.00745612942633,0.0357070392737,0.16961121255,-0.474329072299,6383499
41,33.0661639586,autosome,0.00740569658048,0.0358030810456,0.169527028769,-0.481369197545,6302710
42,36.1276079676,autosome,0.0074355845736,0.0360219492121,0.169322296767,-0.49612681366,6497277
43,39.4641765675,autosome,0.00750859145177,0.0359080017818,0.169558185455,-0.479151544227,6551800
44,43.1005945418,autosome,0.00749253245933,0.035868822407,0.169479766377,-0.479800510509,6746426
45,47.0638086306,autosome,0.00758220617435,0.0360320239403,0.169899633379,-0.477998618697,6666310
46,51.3831872129,autosome,0.00763287726742,0.0360688970779,0.170886032782,-0.464868049485,6863120
47,56.0907379328,autosome,0.00771638928246,0.035977079299,0.170327675222,-0.460438220478,7062865
48,61.2213448843,autosome,0.00771547358479,0.0361535817411,0.170224102597,-0.4643870286,7128989
49,66.8130271107,autosome,0.00777180619345,0.0362548572968,0.170455700164,-0.45858174705,7154419
50,72.9072203353,autosome,0.00776751416923,0.0361543428942,0.169332521022,-0.470970936652,7314072
51,79.5490840096,autosome,0.00780455279538,0.0361618806092,0.170157614485,-0.457335782941,7393623
52,86.7878359563,autosome,0.0078172887331,0.036278980252,0.170408734701,-0.470119703893,7727517
53,94.6771170853,autosome,0.00789846200795,0.0363255443396,0.170085569633,-0.463073788387,7683162
54,103.275388885,autosome,0.00792743405351,0.0363633511988,0.169916417829,-0.46430423606,7703538
55,112.646366639,autosome,0.00795856711178,0.0362184274905,0.169936470487,-0.470362370182,7903485
56,122.859491566,autosome,0.00800015607431,0.0363346610562,0.169710174072,-0.462818310724,8077124
