,distance,label,pi,fam_div_jc,rat_div_jc,tajima,sites
0,0,Autosomes,0.00711236961769,0.035521676781,0.169909326494,-0.482403796881,206816280
1,30,Autosomes,0.00754754832244,0.0358876083458,0.169447424607,-0.475947823384,61145076
2,60,Autosomes,0.00771148742768,0.0360898688542,0.169389249113,-0.479829115705,39370902
3,90,Autosomes,0.00780095568421,0.0361131788952,0.169113777501,-0.474176187332,28351195
4,120,Autosomes,0.00790964914027,0.036292838047,0.169578518504,-0.472522677894,22250621
5,150,Autosomes,0.00792345088383,0.0363525087194,0.169617703574,-0.474195746268,17659066
6,180,Autosomes,0.00799169417565,0.0363214111243,0.169532196808,-0.469461165383,14993030
7,210,Autosomes,0.00803420257101,0.0363733250149,0.169576612727,-0.471201763373,12746878
8,240,Autosomes,0.00808341048364,0.0364677357637,0.169741450236,-0.471187927065,11036727
9,270,Autosomes,0.00809638817913,0.0365159419181,0.170038755513,-0.473922618516,9414961
10,300,Autosomes,0.00816758698102,0.0364715362676,0.169621986222,-0.458013495716,8256113
11,330,Autosomes,0.00817278736675,0.036382386038,0.169656109459,-0.471085928593,7387052
12,360,Autosomes,0.00827404446292,0.0364902015842,0.169427257151,-0.458137618017,6507952
13,390,Autosomes,0.00820977157668,0.0365621896192,0.1691076509,-0.468832893126,5940289
14,420,Autosomes,0.00834026040306,0.0365204461327,0.169369099136,-0.450966886704,5381823
15,450,Autosomes,0.00829113142721,0.036481374872,0.169139123668,-0.464174485753,4963867
16,480,Autosomes,0.00821808022719,0.0362961029885,0.168907045118,-0.462553593268,4552037
17,510,Autosomes,0.00832785323464,0.0367330294895,0.169693222015,-0.464704775478,4137219
18,540,Autosomes,0.00833177377474,0.036591964302,0.169553665702,-0.459423108863,3756686
19,570,Autosomes,0.00837446700565,0.0367859819337,0.168919429531,-0.457080496847,3415917
20,600,Autosomes,0.0084354229194,0.0369280537046,0.170687872267,-0.461851480922,3258258
21,630,Autosomes,0.00833360549091,0.0366691773091,0.169392159835,-0.474843220346,2981374
22,660,Autosomes,0.00840490665849,0.0367406037011,0.16952122615,-0.470894055205,2822017
23,690,Autosomes,0.00823103575386,0.0366573260322,0.169876776606,-0.483818780677,2578048
24,720,Autosomes,0.00839243687651,0.0369916081503,0.170270567722,-0.475965931432,2424796
25,750,Autosomes,0.00837282442873,0.0366719474626,0.169328724875,-0.468027759052,2271176
26,780,Autosomes,0.00824426664607,0.0364357409554,0.169920039004,-0.487470715973,2118327
27,810,Autosomes,0.00846805960705,0.0367846566329,0.170754832796,-0.461866688875,1928426
28,840,Autosomes,0.0084110354041,0.0365155258736,0.169530354691,-0.455059358008,1801528
29,870,Autosomes,0.00831609889082,0.0369589889171,0.169635263526,-0.495488500601,1599612
30,900,Autosomes,0.00837642405545,0.0362270040586,0.168135688497,-0.46374679777,1531754
31,930,Autosomes,0.00841530480651,0.0363892546369,0.167574599716,-0.427886887862,1423147
32,960,Autosomes,0.00843675279881,0.0368034058777,0.16785232131,-0.459300118653,1315105
33,990,Autosomes,0.00846252957781,0.036841228649,0.168445650299,-0.466212229861,1269088
34,1020,Autosomes,0.00835267236055,0.0366119446971,0.168926285804,-0.479122482507,1201393
35,1050,Autosomes,0.00845139821162,0.0365140783442,0.169232469875,-0.454023300475,1109500
36,1080,Autosomes,0.0082931852515,0.0366697419982,0.168901262743,-0.508114765463,1091715
37,1110,Autosomes,0.0085687282525,0.0368423529731,0.168337828162,-0.44486411942,1057018
38,1140,Autosomes,0.00843757266267,0.0363255461016,0.167857472349,-0.455280509418,950680
39,1170,Autosomes,0.00837835665169,0.0366003135023,0.167391042422,-0.461558036164,936240
40,1200,Autosomes,0.00851221342482,0.0371863038908,0.168435536224,-0.471588340984,906022
41,1230,Autosomes,0.0084567338072,0.0366521566552,0.169274078387,-0.481924003196,841576
42,1260,Autosomes,0.00848476484228,0.0372878625837,0.167003200931,-0.462681942529,768059
43,1290,Autosomes,0.00874764255378,0.0370068102415,0.168284792569,-0.406438890171,762366
44,1320,Autosomes,0.00854039256951,0.0367478471583,0.169132975221,-0.428962953613,692458
45,1350,Autosomes,0.00844441243547,0.0371417913167,0.167044204325,-0.486345404076,658441
46,1380,Autosomes,0.00853873932506,0.0367561167447,0.166468984572,-0.483409289501,623028
47,1410,Autosomes,0.0085700752635,0.0370224818061,0.168055213406,-0.475604844867,605256
48,1440,Autosomes,0.00851133192524,0.0367422066783,0.167398759859,-0.493020337659,553592
49,1470,Autosomes,0.00867123529494,0.0370435715997,0.167318251805,-0.442739146371,547095
50,1500,Autosomes,0.00864559987295,0.0367152127242,0.168287190949,-0.444150292217,517317
51,1530,Autosomes,0.00844756661173,0.0367363463889,0.165803305813,-0.459323358046,495270
52,1560,Autosomes,0.00842154773503,0.0366333401288,0.166426062578,-0.479520938786,454982
53,1590,Autosomes,0.0084014025122,0.0364066858261,0.166851775754,-0.436711668087,436585
54,1620,Autosomes,0.00838526765669,0.0364000246092,0.165161216467,-0.448927848929,425377
55,1650,Autosomes,0.00869772793499,0.0368924104525,0.167635101505,-0.454500897521,400614
56,1680,Autosomes,0.00851589313711,0.0367815069725,0.166947383606,-0.440763992518,360783
57,1710,Autosomes,0.00865875525147,0.0366632947656,0.164315366652,-0.459689469661,379944
58,1740,Autosomes,0.00854010719753,0.0368195629333,0.166141557889,-0.481366387062,339128
59,1770,Autosomes,0.00867155588946,0.0377398704478,0.16836996478,-0.499090048244,319105
60,1800,Autosomes,0.0085838497537,0.0366562022418,0.166274987389,-0.481040821498,319694
