,distance,label,pi,fam_div_jc,rat_div_jc,tajima,sites
0,0,all,0.00672985816122,0.035128034175,0.170290288884,-0.484767751642,193917542
1,30,all,0.00752952914713,0.0359423723109,0.169847652864,-0.476536573984,52043169
2,60,all,0.00775920318026,0.036162770561,0.170076710545,-0.46529840854,33785392
3,90,all,0.00790806005859,0.0362992335163,0.170016371038,-0.464961515979,25690414
4,120,all,0.00800317741274,0.0364105373302,0.169917638514,-0.464751747501,20916720
5,150,all,0.00807804868551,0.0365918526908,0.16978983933,-0.475062442534,17863247
6,180,all,0.00815280545633,0.0366946364378,0.169919324661,-0.470340443332,15633582
7,210,all,0.00820980698349,0.0366991614134,0.169946996874,-0.471472668979,13715058
8,240,all,0.00823689790064,0.0367067995234,0.169496979055,-0.470204796815,12368975
9,270,all,0.0082367409987,0.0368339266631,0.169878517119,-0.47427461167,11393398
10,300,all,0.00832804593525,0.0367907250336,0.169443169257,-0.465923171542,10347178
11,330,all,0.00833992579998,0.0366836474579,0.169261093019,-0.470735094411,9399019
12,360,all,0.00833021856834,0.0365889572113,0.168702488108,-0.47476887986,8480125
13,390,all,0.00838686046562,0.0367685831836,0.168609919125,-0.474680800889,7989611
14,420,all,0.00837937358556,0.0366541918899,0.168860682759,-0.475280184165,7119771
15,450,all,0.00840693146746,0.0366815972473,0.168987659692,-0.46822486867,6534872
16,480,all,0.00843099570797,0.0366300429811,0.168101804736,-0.47689916905,6038055
17,510,all,0.00840835225817,0.0365928106243,0.167464231958,-0.484300416583,5600084
18,540,all,0.00857473052595,0.0367620871958,0.168236438678,-0.459832694859,5308362
19,570,all,0.00845397137987,0.036658689992,0.167892595999,-0.475437764617,4923638
20,600,all,0.00839396639769,0.0363847741831,0.167592331265,-0.481616616065,4576067
21,630,all,0.00847117716052,0.0365825766638,0.167314070515,-0.4830980177,4217874
22,660,all,0.00851978736694,0.0366977272868,0.167129970975,-0.472026517993,3961705
23,690,all,0.00854245460649,0.036623922053,0.167269089014,-0.469385639048,3734631
24,720,all,0.00850814928067,0.036652033969,0.167621574115,-0.484988527265,3601758
25,750,all,0.00845308305396,0.036066295163,0.166409445876,-0.466504283761,3325917
26,780,all,0.00850827780374,0.0364348227785,0.167264949319,-0.475387830507,3139159
27,810,all,0.00853604485579,0.0362133544629,0.165734641997,-0.47664022156,2905780
28,840,all,0.00852466996064,0.0366946396411,0.166457665814,-0.488695867015,2789444
29,870,all,0.00859404012998,0.0365220288218,0.166695034301,-0.470259672478,2630400
30,900,all,0.00866567122972,0.0366737919742,0.166824190666,-0.468564074263,2429789
31,930,all,0.00858401448996,0.0364946128019,0.166798298806,-0.477177213028,2273719
32,960,all,0.0085996844649,0.0363724790014,0.166731656705,-0.465767597984,2022696
33,990,all,0.00863641565732,0.0366202705432,0.166948766428,-0.467586409933,1931500
34,1020,all,0.0087749246854,0.0367280048368,0.167351893704,-0.461624225739,1895645
35,1050,all,0.00881433260932,0.0367901715468,0.167581581621,-0.464293207088,1731639
36,1080,all,0.00890536131393,0.0367179307105,0.167153498943,-0.447477862781,1563783
37,1110,all,0.00876515001631,0.0369010449938,0.166387991723,-0.467312372858,1451679
38,1140,all,0.0087167409818,0.0364474708749,0.166581194474,-0.476951287684,1391077
39,1170,all,0.00867686979693,0.0362089752093,0.165826210116,-0.461129650567,1360470
40,1200,all,0.00877983991653,0.0370828931687,0.165286488121,-0.4762561805,1278846
41,1230,all,0.0088397708986,0.0364838800124,0.166758343792,-0.462371093122,1115507
42,1260,all,0.00876465252583,0.0363565328546,0.164674080882,-0.475338682119,1004807
43,1290,all,0.00883088869238,0.0369858345681,0.166270587629,-0.506687744283,903663
44,1320,all,0.00887975832201,0.036904162137,0.166561609604,-0.466360247266,890563
45,1350,all,0.00916480480905,0.0369282064555,0.166795987164,-0.438782329373,739028
46,1380,all,0.00870096495254,0.0364485049913,0.165795922865,-0.461736721433,725637
47,1410,all,0.00876896677293,0.0373055975529,0.168269089684,-0.448213479755,656033
48,1440,all,0.0089909514481,0.0368588381407,0.167341324328,-0.434319195135,612020
49,1470,all,0.00904452018906,0.0367857534211,0.166362068254,-0.44930901951,614237
50,1500,all,0.00866901909829,0.0362131140835,0.166189425597,-0.484269166717,564567
51,1530,all,0.00912960806827,0.0367400273568,0.166324752699,-0.436857820443,527937
52,1560,all,0.0090995242836,0.0371972971118,0.167396578669,-0.456477907835,456132
53,1590,all,0.00917213625947,0.0370522059642,0.166772553474,-0.455749551535,457321
54,1620,all,0.00908282237095,0.0367901997039,0.165971247673,-0.462356535683,412869
55,1650,all,0.0089540297317,0.0368619994127,0.166349391388,-0.45313409939,364240
