,dist,pi
0,32551,0.00962236842105
1,-47651,0.00960821052632
2,-10451,0.009141
3,15351,0.00927515789474
4,66951,0.00970515789474
5,11851,0.00897457894737
6,-3251,0.00822157894737
7,56551,0.00942636842105
8,-64651,0.00897342105263
9,42851,0.00968152631579
10,35251,0.00950757894737
11,59751,0.00991752631579
12,-35851,0.00974157894737
13,-12251,0.00922094736842
14,29151,0.00909347368421
15,61951,0.00973842105263
16,-29951,0.00967731578947
17,57951,0.00997436842105
18,-55851,0.00985005263158
19,-47351,0.00948078947368
20,-23351,0.00949273684211
21,68951,0.00987984210526
22,-34251,0.00964057894737
23,-39851,0.00944389473684
24,45251,0.00928826315789
25,3951,0.00793447368421
26,17451,0.00900989473684
27,-60451,0.00972631578947
28,17751,0.00927505263158
29,2351,0.00816968421053
30,-9151,0.00940810526316
31,-18551,0.00942631578947
32,-42751,0.00946105263158
33,-22251,0.00946357894737
34,28451,0.00963089473684
35,-14351,0.00913857894737
36,3151,0.00781794736842
37,-7351,0.00896347368421
38,451,0.00767963157895
39,27851,0.00952126315789
40,-27651,0.00963610526316
41,-40351,0.00949347368421
42,-15451,0.00907847368421
43,31651,0.00961563157895
44,40051,0.00950257894737
45,52751,0.00954926315789
46,20951,0.00930836842105
47,-37351,0.00960784210526
48,-38651,0.00970805263158
49,-36651,0.00944094736842
50,5351,0.00883478947368
51,67551,0.00984594736842
52,26651,0.00941968421053
53,63551,0.00970715789474
54,-46851,0.00943626315789
55,-41951,0.009428
56,-12451,0.00902047368421
57,-26751,0.00964568421053
58,66851,0.00985784210526
59,-8851,0.00911352631579
60,10551,0.00900905263158
61,60351,0.00971021052632
62,-62951,0.00994794736842
63,43851,0.00970573684211
64,-4051,0.00838821052632
65,25351,0.00908531578947
66,-9451,0.00890505263158
67,42351,0.00945889473684
68,42451,0.00959163157895
69,56451,0.00984552631579
70,-34551,0.00957731578947
71,-35351,0.00971215789474
72,-10851,0.00899136842105
73,52051,0.00933152631579
74,2251,0.008345
75,38651,0.00913152631579
76,48451,0.00945684210526
77,-1151,0.00805
78,-38451,0.00973789473684
79,-2451,0.00805373684211
80,8851,0.00859510526316
81,23551,0.00916573684211
82,-551,0.00771657894737
83,-41451,0.00944942105263
84,-44951,0.00940305263158
85,-31551,0.00952068421053
86,3351,0.00828715789474
87,-34951,0.00979778947368
88,-55751,0.009931
89,8351,0.00860178947368
90,15651,0.00891531578947
91,-24251,0.00923347368421
92,69551,0.0100522105263
93,57851,0.00993110526316
94,-30051,0.00963884210526
95,-24351,0.00929036842105
96,65351,0.00974263157895
97,-38751,0.00953068421053
98,-40251,0.00940884210526
99,19351,0.00948715789474
100,-3151,0.00806215789474
101,33051,0.00943510526316
102,-39751,0.00971073684211
103,-10051,0.00889742105263
104,57251,0.00954978947368
105,46151,0.00930857894737
106,-13951,0.00866052631579
107,14751,0.00947068421053
108,-8051,0.00927447368421
109,52151,0.00931647368421
110,68551,0.0101225789474
111,21951,0.00939226315789
112,41751,0.0100244210526
113,-20251,0.00898784210526
114,55551,0.00966010526316
115,13051,0.008809
116,-61351,0.00936378947368
117,58651,0.00967684210526
118,-9651,0.00892373684211
119,55251,0.00940442105263
120,39651,0.00930315789474
121,-7651,0.00885115789474
122,-56751,0.009287
123,8251,0.00867236842105
124,-25751,0.00915121052632
125,29651,0.00967363157895
126,-39551,0.00958142105263
127,-4851,0.00867184210526
128,17851,0.00894521052632
129,14351,0.00920015789474
130,-22151,0.00924536842105
131,8151,0.00871494736842
132,3551,0.00820994736842
133,13951,0.00919947368421
134,16651,0.00888457894737
135,-6751,0.00862284210526
136,48351,0.00961584210526
137,-61451,0.00954915789474
138,23851,0.00897747368421
139,-48951,0.00976026315789
140,-60051,0.00940942105263
141,57051,0.00986068421053
142,751,0.00800610526316
143,-46651,0.00922010526316
144,-52451,0.0101643157895
145,49451,0.00946536842105
146,67951,0.00977573684211
147,18651,0.00942994736842
148,-29551,0.00989726315789
149,25851,0.00955773684211
150,-64451,0.00947710526316
151,24451,0.00926568421053
152,-30451,0.00952073684211
153,-35451,0.00983542105263
154,-48151,0.00956421052632
155,15751,0.00897478947368
156,-54751,0.00936731578947
157,47751,0.00902347368421
158,-5151,0.00854405263158
159,61651,0.00965615789474
160,-61551,0.00934010526316
161,-66251,0.00922710526316
162,65851,0.00970615789474
163,-57451,0.00924021052632
164,40151,0.00973894736842
165,-66651,0.00952673684211
166,-32551,0.00972894736842
167,-5351,0.00849078947368
168,-5451,0.00876189473684
169,48651,0.0101743684211
170,25151,0.00924357894737
171,-33351,0.00974189473684
172,-63351,0.00962984210526
173,60851,0.00984942105263
174,34951,0.00948068421053
175,27151,0.00947152631579
176,39551,0.00968436842105
177,-43951,0.00968463157895
178,-62451,0.00954347368421
179,-23151,0.00948794736842
180,29251,0.00919978947368
181,-31751,0.009383
182,63651,0.00959647368421
183,13551,0.00924473684211
184,-39251,0.00958310526316
185,29551,0.00955257894737
186,34051,0.00990689473684
187,60951,0.00947847368421
188,-27051,0.00984947368421
189,-10551,0.00912321052632
190,-16651,0.00921647368421
191,43451,0.00966821052632
192,29451,0.00952289473684
193,48851,0.00964847368421
194,-60551,0.00965978947368
195,-35551,0.00971531578947
196,-49651,0.00963721052632
197,-32051,0.00944063157895
198,-17451,0.00971863157895
199,-27451,0.00977373684211
200,-14951,0.00885821052632
201,6751,0.00866047368421
202,7751,0.00870915789474
203,40751,0.00967815789474
204,51351,0.00967921052632
205,-63551,0.0100747368421
206,53551,0.00936342105263
207,35551,0.00924252631579
208,55451,0.00972263157895
209,-44651,0.00938905263158
210,30951,0.00950331578947
211,65751,0.0100387894737
212,-48851,0.00908284210526
213,23651,0.00961594736842
214,-68451,0.00992652631579
215,65651,0.00994978947368
216,33351,0.0100238421053
217,-51651,0.009595
218,-40851,0.00953073684211
219,55151,0.00998
220,-15751,0.00920821052632
221,46351,0.00938105263158
222,7051,0.00887510526316
223,34751,0.00965721052632
224,64951,0.00939263157895
225,27951,0.00949884210526
226,60151,0.0102363684211
227,-16551,0.00896078947368
228,-33951,0.00944010526316
229,-5551,0.00895947368421
230,-61751,0.00950878947368
231,-46351,0.00932621052632
232,-67351,0.00963742105263
233,40851,0.00950194736842
234,-58751,0.00914168421053
235,-21751,0.00953505263158
236,1851,0.00807057894737
237,-18851,0.00926694736842
238,8751,0.00867336842105
239,-20051,0.00929136842105
240,-17151,0.00895731578947
241,7251,0.00852768421053
242,6451,0.00882431578947
243,-41151,0.00910568421053
244,-54051,0.00973226315789
245,-35951,0.00916894736842
246,-7051,0.00878015789474
247,62451,0.00943726315789
248,-47551,0.00949805263158
249,48551,0.00953231578947
250,19851,0.00881736842105
251,59551,0.00968684210526
252,22451,0.00941226315789
253,-51451,0.00968778947368
254,-52151,0.0100744736842
255,-3051,0.00813489473684
256,-851,0.00798610526316
257,-19251,0.00897410526316
258,-19351,0.00943115789474
259,2551,0.00794684210526
260,-11051,0.00911368421053
261,53451,0.00948905263158
262,-58251,0.00931684210526
263,-17751,0.00898584210526
264,53951,0.00966136842105
265,-13251,0.00912889473684
266,18551,0.00906015789474
267,-24851,0.00918442105263
268,-10251,0.00900468421053
269,51851,0.00936226315789
270,-15951,0.00889668421053
271,68251,0.00997315789474
272,-55151,0.009407
273,-16951,0.00894836842105
274,-8351,0.008819
275,25451,0.00952715789474
276,31951,0.00956589473684
277,851,0.00799621052632
278,-54851,0.00958973684211
279,-30651,0.00941957894737
280,-51051,0.00962357894737
281,9251,0.00867794736842
282,-17651,0.00919978947368
283,-45351,0.00919705263158
284,-62051,0.00961552631579
285,-20351,0.00917457894737
286,-5851,0.00883715789474
287,16451,0.00868547368421
288,-39151,0.00940747368421
289,19551,0.00925584210526
290,13151,0.00869289473684
291,22551,0.00917478947368
292,-19551,0.00901026315789
293,-45851,0.009338
294,32851,0.00912021052632
295,-61251,0.00926226315789
296,56251,0.00961463157895
297,4651,0.00882489473684
298,7851,0.00886294736842
299,-2251,0.00817957894737
300,-58451,0.00888952631579
301,33251,0.00952731578947
302,-11151,0.00904963157895
303,38751,0.00938810526316
304,-64951,0.00970210526316
305,38551,0.00955068421053
306,6351,0.00821205263158
307,-25351,0.00930531578947
308,-47951,0.00912163157895
309,-55351,0.00965673684211
310,-65451,0.00952447368421
311,52351,0.00927178947368
312,63751,0.00968352631579
313,-69051,0.00975952631579
314,-67551,0.00974194736842
315,-48251,0.00928205263158
316,-52351,0.00974110526316
317,38351,0.00939052631579
318,-56051,0.00970689473684
