,dist,pi
0,32551,0.00969242105263
1,-47651,0.0099631754386
2,-10451,0.00949894736842
3,15351,0.00955798245614
4,66951,0.00974410526316
5,11851,0.00956775438596
6,-3251,0.00889505263158
7,56551,0.00963261403509
8,-64651,0.00974270175439
9,42851,0.00969233333333
10,35251,0.00965115789474
11,59751,0.0100846315789
12,-35851,0.00961966666667
13,-12251,0.00951028070175
14,29151,0.00972861403509
15,61951,0.00979931578947
16,-29951,0.00972607017544
17,57951,0.00984824561404
18,-55851,0.00994010526316
19,-47351,0.00979957894737
20,-23351,0.00967070175439
21,68951,0.00999921052632
22,-34251,0.00975377192982
23,-39851,0.0096220877193
24,45251,0.00965266666667
25,3951,0.00887026315789
26,17451,0.00956410526316
27,-60451,0.00979894736842
28,17751,0.00946442105263
29,2351,0.00898242105263
30,-9151,0.00935477192982
31,-18551,0.00960873684211
32,-42751,0.00966663157895
33,-22251,0.00946885964912
34,28451,0.00992707017544
35,-14351,0.00955729824561
36,3151,0.008875
37,-7351,0.00929166666667
38,451,0.00855126315789
39,27851,0.00974324561404
40,-27651,0.00969887719298
41,-40351,0.0097701754386
42,-15451,0.00962710526316
43,31651,0.00969571929825
44,40051,0.00960666666667
45,52751,0.00984173684211
46,20951,0.0096018245614
47,-37351,0.0096731754386
48,-38651,0.00997257894737
49,-36651,0.00955961403509
50,5351,0.00941889473684
51,67551,0.00993628070175
52,26651,0.0098039122807
53,63551,0.00978470175439
54,-46851,0.00987110526316
55,-41951,0.00980857894737
56,-12451,0.0094620877193
57,-26751,0.00975554385965
58,66851,0.00978873684211
59,-8851,0.00930333333333
60,10551,0.00953133333333
61,60351,0.00985736842105
62,-62951,0.00998284210526
63,43851,0.00986392982456
64,-4051,0.00906184210526
65,25351,0.00963903508772
66,-9451,0.00947368421053
67,42351,0.00976871929825
68,42451,0.00977796491228
69,56451,0.00999768421053
70,-34551,0.00987271929825
71,-35351,0.00984194736842
72,-10851,0.00944485964912
73,52051,0.00974464912281
74,2251,0.00880805263158
75,38651,0.00947628070175
76,48451,0.00976103508772
77,-1151,0.00860477192982
78,-38451,0.00970947368421
79,-2451,0.00887742105263
80,8851,0.00945957894737
81,23551,0.00961145614035
82,-551,0.00856303508772
83,-41451,0.00973745614035
84,-44951,0.00961640350877
85,-31551,0.00988343859649
86,3351,0.00893619298246
87,-34951,0.00997135087719
88,-55751,0.00991033333333
89,8351,0.00924214035088
90,15651,0.00944103508772
91,-24251,0.00959003508772
92,69551,0.00988149122807
93,57851,0.010027122807
94,-30051,0.00996978947368
95,-24351,0.00961143859649
96,65351,0.00999319298246
