Unnamed: 0,rep,NeSa1,pa1,NeSa2,pa2,AIC,identifier,product1,product2
494,494,1.3117100806900002,0.263243786404,0.57704983138,0.00018512605278333334,-24350.246249400003,BimodalDFE_div10,0.013811981132205279,1.9228852357680147e-06
495,495,1.7446900086150001,558.539457451,0.9508647260950001,1039.749505201111,-2394.31745825,BimodalDFE_div10,38.9791284332801,17.795900312468394
496,496,0.9941822112725001,0.403243535391,0.10682534915799999,1.0547330808655555,-24244.9604833,BimodalDFE_div10,0.016035901987854602,0.002028100133375208
497,497,1.0573278105700001,0.33226637871399994,0.33194392958249996,123.90642757,-24196.676724700003,BimodalDFE_div10,0.014052579309267843,0.7403397564260739
498,498,1.321523066375,0.268821606389,0.2827892019055,1.074100069258889e-08,-24366.8053858,BimodalDFE_div10,0.014210158143321784,5.4673902243425426e-11
499,499,1.0474081477025,0.352388744232,0.341818453403,0.0002063146119377778,-24296.5025338,BimodalDFE_div10,0.014763793674689966,1.269398548206204e-06
500,500,1.2638267677025,0.135699178673,22.81252724025,0.049138909227777784,-24327.4116926,BimodalDFE_div10,0.006860010174487265,0.02017768869566735
501,501,0.6405575340375,160.568191996,0.0297084496531,421.9574130066666,-4672.40567968,BimodalDFE_div10,4.1141266043927045,0.2256426100810958
502,502,0.30864307151,2.61610322294e-05,0.050687805238999996,16.212950987444447,-24325.1974792,BimodalDFE_div10,3.2297685364616477e-07,0.01479238023601866
503,503,0.37545414949749994,26.6499068524,0.02044245088205,345.9466129433334,-16161.994995299998,BimodalDFE_div10,0.40023272445821756,0.1272959395723018
504,504,2.9429328892749997,53.083435222700004,38.87015186015,959.4991262033333,-4137.56636748,BimodalDFE_div10,6.248839495703313,671.3257814136864
505,505,1.242426357975,0.29055789810899996,0.1387114186955,5.079814631755555,-24348.2352626,BimodalDFE_div10,0.01443987164513744,0.012683309297057495
506,506,1.3244076747625,0.257237268839,0.13470946368099998,12.657182544333333,-24353.6649292,BimodalDFE_div10,0.013627480523412642,0.030690760900673842
507,507,1.2805070331725,0.276010470126,0.11518254990899998,0.0001403275061577778,-24357.7122977,BimodalDFE_div10,0.014137333929023646,2.909390396692274e-07
508,508,1.2823591723774999,0.282029108853,0.135993355155,3.554697696311111,-24375.3282574,BimodalDFE_div10,0.014466504584603876,0.00870147479309575
509,509,1.2021225116475,0.29832047590099997,0.13796839016,0.8517431806166665,-24444.934648299997,BimodalDFE_div10,0.014344710390639505,0.002115245438269913
510,510,1.2743207349325,70.4610307955,6.5503653258,220.54169140888888,-4740.60089046,BimodalDFE_div10,3.591598101896923,26.00331566936525
511,511,1.1077963074875,0.336068175925,0.07785928345399999,7.103766118566667e-06,-24406.88866,BimodalDFE_div10,0.01489180337415098,9.955694516695263e-09
512,512,0.988492270175,0.602411850215,3.6969095084850006,952.3231375888889,-13389.378640500001,BimodalDFE_div10,0.023819178295973898,63.37174432504739
513,513,1.2171761744125,0.282357656791,0.1349974680485,3.7461736518333337,-24358.944875,BimodalDFE_div10,0.013747160500357881,0.009103031241615054
514,514,0.666717878905,174.91877002400003,0.00220233481174,1021.4489884322222,-6049.79216711,BimodalDFE_div10,4.664858853242912,0.04049230798153605
515,515,0.6518056498425,20.1304106424,10.6553483526,0.12605393883444446,-14172.647309,BimodalDFE_div10,0.5248446156146365,0.0241766753309701
516,516,1.24944746022,0.27756795937699996,0.136117477198,3.1115200524666666,-24293.6971507,BimodalDFE_div10,0.013872263275281632,0.007623580676269521
517,517,1.2244162516100001,2.26927249082,8.7634790855,0.04265192046811111,-20398.958370099997,BimodalDFE_div10,0.11114136468366051,0.00672802583361662
518,518,1.075908735075,7367.10274074,0.004010862597605,222.22222222222223,-2300.13775551,BimodalDFE_div10,317.0532076382856,0.01604345039042
519,519,2.1588690868950002,411.828846226,28.4277149849,83.22821828566669,-1906.39033279,BimodalDFE_div10,35.56338260835784,42.58778522626755
520,520,1.23632121005,0.279143661989,0.135918178326,2.4058987284,-24299.1263778,BimodalDFE_div10,0.013804449198721147,0.0058860967032174204
521,521,1.1919393965,0.29362756029599996,0.02014634569725,16.663793364222222,-24353.297275999998,BimodalDFE_div10,0.013999450280599264,0.006042861751376906
522,522,1.64898227647,1.39495208134,6.80264981155,231.3005136633333,-9341.51646068,BimodalDFE_div10,0.09201005034618391,28.32221512229927
523,523,1.4169472085675,2.8089752745999995e-08,22.694152668549997,0.03673091704788889,-24368.66467,BimodalDFE_div10,1.5920678697118385e-09,0.015004386704531454
524,524,1.27551958166,0.282492738372,0.5834056869950001,13.039090931444445,-24338.8901041,BimodalDFE_div10,0.014413000778809651,0.13692743644769317
525,525,2.689257303975,14.4041219242,2.192150673005,648.5607395744444,-17707.024976400004,BimodalDFE_div10,1.5494556036800513,25.5913715113693
526,526,1.1601886384,0.31385939791399997,0.32620856120200004,5.767281070477778,-24341.3850595,BimodalDFE_div10,0.014565444300595498,0.033864056280865557
527,527,2.1174533176575,0.283443967152,0.009570771034050001,204.79337106777777,-1370.79926995,BimodalDFE_div10,0.024007174744640234,0.03528054834805693
528,528,1.3067469446675,0.25482413039,0.1360199810535,2.623933261744445,-24367.816979099996,BimodalDFE_div10,0.013319626152587407,0.0064243323458663005
529,529,1.062044523505,0.349540106149,0.140237030294,0.00011582485576777778,-24377.394095400003,BimodalDFE_div10,0.014849086219236073,2.923728085278726e-07
530,530,1.3060899721525,0.262758457606,0.4558070215375,1.832219561255556e-08,-24368.386608700002,BimodalDFE_div10,0.013727447463098175,1.503249373833552e-10
531,531,0.7845164674675,9.81180016422,0.03149492640575,12.483808838000002,-12262.131925200001,BimodalDFE_div10,0.3079007521732364,0.0070771795310927066
532,532,1.1445099901575002,0.299218327054,0.3475272603165,20.964640270555556,-24426.5453959,BimodalDFE_div10,0.013698334582060687,0.1311441119414485
533,533,2.653480293175,0.0212213771994,5.012062723800001,50.24159890200001,-10432.755355,BimodalDFE_div10,0.002252420247705647,4.532652810734855
534,534,2.2054424017025003,33.67412423969999,16.212188595700002,510.4684548,-2933.33074712,BimodalDFE_div10,2.9706536575372935,148.9645955047169
535,535,22.008643651950003,2000.0,48.899753881150005,972.5819252044445,-799.657851583,BimodalDFE_div10,1760.691492156,856.0623018915427
536,536,1.2975246111125,0.267249807965,5.9000500663,2.3172821686222222e-10,-24342.1954253,BimodalDFE_div10,0.013870528125987077,2.460974546270763e-11
