Unnamed: 0,rep,NeSa1,pa1,NeSa2,pa2,AIC,identifier,product1,product2
302,302,1.3298990582474999,5.7773766123999994,2.75039563062,1.930929638766667,-27428.779090599997,BimodalDFE,0.30733310863887564,0.09559476794697291
303,303,1.507138102405,4.69555788386,0.041307122641850005,32.281011964444446,-27174.6532759,BimodalDFE,0.28307416795254386,0.02400184296393001
304,304,2.3721184968825,2.04922664755,2.90516335843,2.6792307016555554,-25865.763576400004,BimodalDFE,0.19444033739831482,0.14010485153814753
305,305,1.3555666243600002,5.576338360959999,0.0542257265785,110.52482812111111,-27459.851080599998,BimodalDFE,0.3023639267302289,0.10787920397695942
306,306,1.357596465215,5.57515681697,0.054216561071,117.4019944888889,-27496.096653400004,BimodalDFE,0.3027525275095113,0.1145723832731529
307,307,1.3537457995525,5.59050115549,2.731100443815,2.213862320633333,-27504.135954,BimodalDFE,0.3027246982655194,0.10883304659568603
308,308,1.3666031279925,5.47650727536,3.2707132111500004,1.7226522723222222,-27416.0481258,BimodalDFE,0.2993684789192264,0.10141742781543348
309,309,2.4506450178950003,1091.5692094699998,1.3568222204649998,1095.60877337,-2842.32366864,BimodalDFE,107.00194579500958,26.757833915606728
310,310,1.3560090071325002,5.626903531209999,2.40957766038,2.555672368188889,-27487.658162199998,BimodalDFE,0.3052052748234572,0.11084563882149115
311,311,1.3121886347124998,5.97831691628,3.0652853912499998,5.008183900211111,-27471.1320672,BimodalDFE,0.31378718049008386,0.2763272330281902
312,312,1.3457218663025001,5.64766752135,2.4464982396,2.578130575166667,-27474.021504199998,BimodalDFE,0.30400758708348546,0.11353305444487535
313,313,1.3731580083225001,5.49063312891,2.5627608184699997,2.4309343292666665,-27502.9197153,BimodalDFE,0.3015802740689437,0.11213825852372873
314,314,0.5742397560649999,7.713665032879999,7.6517723531,0.6217966825822222,-23530.8178965,BimodalDFE,0.1771797250739252,0.085641239970575
315,315,1.3573994023424998,5.589418011259999,2.7684380872600003,2.202452432544445,-27522.424519599997,BimodalDFE,0.30348290671706907,0.10975235759342059
316,316,1.57286331986,347.441829955,0.00575039467985,33.646682767,-4197.9007279,BimodalDFE,21.859140404850194,0.0034826707004032343
317,317,2.0362609516725,4.59166778759,6.35670097735,2.010347829688889,-20708.267742400003,BimodalDFE,0.373993352756879,0.23002524024834262
