,Unnamed: 0,Unnamed: 0.1,rep,NeSa,pa,AIC,identifier,product
0,0,0,0,0.00029199596933749994,0.488808721277,-23943.4146756,Exp.Nes100_dDFE.Exponential_div10,2.854603527798029e-06
1,1,1,1,20.522822988949994,118.805164012,-23808.2883251,Exp.Nes100_dDFE.Exponential_div10,48.76434702382896
2,2,2,2,15.928634694725003,0.3773606815919999,-23781.5404867,Exp.Nes100_dDFE.Exponential_div10,0.12021680890462812
3,3,3,3,4.0870032636000003e-07,11060832.633499999,-23831.401605000006,Exp.Nes100_dDFE.Exponential_div10,0.09041131814249577
4,4,4,4,9.263461497874999e-07,9573840.67776,-23913.9041451,Exp.Nes100_dDFE.Exponential_div10,0.1773738090104385
5,5,5,5,24.160943461224992,0.44265669463299984,-23876.1108021,Exp.Nes100_dDFE.Exponential_div10,0.21390006743521292
6,6,6,6,24.436327309524998,0.0783247411373,-23889.3940579,Exp.Nes100_dDFE.Exponential_div10,0.0382793802172976
7,7,7,7,0.007635372961600001,0.00011467493621400001,-23916.0869921,Exp.Nes100_dDFE.Exponential_div10,1.7511718146831607e-08
8,8,8,8,0.003468010399125,0.000248318032803,-23847.4852529,Exp.Nes100_dDFE.Exponential_div10,1.7223390401021337e-08
9,9,9,9,22.8693777458,2.9187012695599983,-23912.1186713,Exp.Nes100_dDFE.Exponential_div10,1.334977637214273
10,10,10,10,0.002294506107575,0.0011861400750499999,-23863.0877208,Exp.Nes100_dDFE.Exponential_div10,5.4432112932833874e-08
11,11,11,11,0.001698172401805,0.0008889611269319998,-23907.9383669,Exp.Nes100_dDFE.Exponential_div10,3.019218504066788e-08
12,12,12,12,0.003543070301975,0.00299471003551,-23910.786394,Exp.Nes100_dDFE.Exponential_div10,2.1220936379683959e-07
13,13,13,13,0.004494023217575,0.00046010972809500003,-23897.5245781,Exp.Nes100_dDFE.Exponential_div10,4.1354876013821006e-08
14,14,14,14,15.089452098275006,0.00448713843859,-23869.1485752,Exp.Nes100_dDFE.Exponential_div10,0.0013541692105486461
15,15,15,15,0.0017706018538800007,0.00145697898191,-23850.0788969,Exp.Nes100_dDFE.Exponential_div10,5.1594593728680844e-08
16,16,16,16,24.695205493975,0.00162654889557,-23891.4433793,Exp.Nes100_dDFE.Exponential_div10,0.0008033591844419846
17,17,17,17,0.005205453653649999,5.551115123129999e-09,-23908.3176315,Exp.Nes100_dDFE.Exponential_div10,5.779214499905764e-13
18,18,18,18,7.757156947349999e-06,287899.093269,-23884.9802482,Exp.Nes100_dDFE.Exponential_div10,0.04466556902974778
19,19,19,19,16.965711091,9.563456615509999,-23981.077641900003,Exp.Nes100_dDFE.Exponential_div10,3.2450168394011065
20,20,20,20,19.692205500575,10.503787162299998,-23852.617769,Exp.Nes100_dDFE.Exponential_div10,4.136854706686262
21,21,21,21,23.322803091799994,0.333754357484,-23885.3145706,Exp.Nes100_dDFE.Exponential_div10,0.1556817432125911
22,22,22,22,0.0032568611748750005,0.0218227103055,-23840.581355,Exp.Nes100_dDFE.Exponential_div10,1.4214707584905503e-06
23,23,23,23,0.00728779801985,0.0,-23868.3663019,Exp.Nes100_dDFE.Exponential_div10,0.0
24,24,24,24,0.007769887957100001,0.00023574475704900004,-23893.3791892,Exp.Nes100_dDFE.Exponential_div10,3.663420697488982e-08
25,25,25,25,22.280779658100002,9.83504220842,-23883.313498400006,Exp.Nes100_dDFE.Exponential_div10,4.3826481674783855
26,26,26,26,0.009614234173774999,0.002425298850639999,-23796.0941693,Exp.Nes100_dDFE.Exponential_div10,4.663478218288062e-07
27,27,27,27,21.617535673375002,0.492137763874,-23870.7889756,Exp.Nes100_dDFE.Exponential_div10,0.21277611333522395
28,28,28,28,0.010217599705625,0.0,-23901.7200177,Exp.Nes100_dDFE.Exponential_div10,0.0
29,29,29,29,0.00909225845735,0.00941599020976,-23900.6925501,Exp.Nes100_dDFE.Exponential_div10,1.7122523323803034e-06
30,30,30,30,23.253123691575002,3.1129173849699994,-23900.745079400003,Exp.Nes100_dDFE.Exponential_div10,1.4477010598872317
31,31,31,31,8.945359760399999,0.0768645258553,-23859.0368753,Exp.Nes100_dDFE.Exponential_div10,0.013751616731764518
32,32,32,32,0.0001370683631195,0.158296137309,-23847.9500442,Exp.Nes100_dDFE.Exponential_div10,4.339478485816849e-07
33,33,33,33,0.00444103774855,0.0009188871885610001,-23830.6464307,Exp.Nes100_dDFE.Exponential_div10,8.161625382116767e-08
34,34,34,34,19.283227891675,65.0854035888,-23858.3784555,Exp.Nes100_dDFE.Exponential_div10,25.10113339648945
35,35,35,35,0.0032848947167249997,0.0200643779369,-23928.2333741,Exp.Nes100_dDFE.Exponential_div10,1.3181873815859291e-06
36,36,36,36,24.992169148949994,4.63362634373,-23970.040129700006,Exp.Nes100_dDFE.Exponential_div10,2.3160874671106173
37,37,37,37,4.869816411225002e-07,3886749.2973199994,-23796.2018339,Exp.Nes100_dDFE.Exponential_div10,0.03785551102881235
38,38,38,38,0.003436160516325,0.0058859750407,-23936.9579315,Exp.Nes100_dDFE.Exponential_div10,4.0450310069855545e-07
39,39,39,39,0.000391417757675,0.632134111722,-23898.5017645,Exp.Nes100_dDFE.Exponential_div10,4.948570331202064e-06
40,40,40,40,9.648783895200001,0.842118974553,-23907.584422,Exp.Nes100_dDFE.Exponential_div10,0.1625084799901865
41,41,41,41,23.006378442624996,3.38597805905,-23913.9908282,Exp.Nes100_dDFE.Exponential_div10,1.557981852498583
42,42,42,42,0.0011353574679275,0.000373195918613,-23902.7577618,Exp.Nes100_dDFE.Exponential_div10,8.474215463946663e-09
43,43,43,43,0.00043636109873749997,0.004905548189879999,-23863.6579931,Exp.Nes100_dDFE.Exponential_div10,4.281180796091581e-08
44,44,44,44,0.0021865502890375,0.0,-23932.6358199,Exp.Nes100_dDFE.Exponential_div10,0.0
45,45,45,45,14.512061248825,134.524511514,-23928.7333323,Exp.Nes100_dDFE.Exponential_div10,39.04455901118864
46,46,46,46,0.00344271136845,0.00152248769147,-23852.7571205,Exp.Nes100_dDFE.Exponential_div10,1.0482971367497931e-07
47,47,47,47,0.001724443842405,1.6653345369400003e-08,-23849.9814794,Exp.Nes100_dDFE.Exponential_div10,5.74355177554113e-13
48,48,48,48,17.525904853475005,0.7458015038869997,-23886.164563,Exp.Nes100_dDFE.Exponential_div10,0.26141692393404253
49,49,49,49,0.0075661130413,0.000142025280425,-23925.928214900006,Exp.Nes100_dDFE.Exponential_div10,2.1491586528357644e-08
50,50,50,50,23.724325722950002,97.0481110196,-23921.3619383,Exp.Nes100_dDFE.Exponential_div10,46.04801993252008
51,51,51,51,13.711584232,0.462198018747,-23851.8170021,Exp.Nes100_dDFE.Exponential_div10,0.12674934131826013
52,52,52,52,0.00025339592254750004,0.256615084737,-23803.1933723,Exp.Nes100_dDFE.Exponential_div10,1.3005043227307405e-06
53,53,53,53,12.908724023425,0.00016702750293999996,-23931.6903632,Exp.Nes100_dDFE.Exponential_div10,4.312223879548535e-05
54,54,54,54,18.297998216125,0.248119474966,-23921.9893765,Exp.Nes100_dDFE.Exponential_div10,0.0908017942062748
55,55,55,55,18.381079066175,0.18393574441299998,-23905.4965923,Exp.Nes100_dDFE.Exponential_div10,0.06761874922302219
56,56,56,56,22.47930634722499,0.29391830635999994,-23917.7658191,Exp.Nes100_dDFE.Exponential_div10,0.13214159299447933
57,57,57,57,9.5583134049,0.06267557028929999,-23844.484615,Exp.Nes100_dDFE.Exponential_div10,0.011981454873119364
58,58,58,58,0.0027522275417,0.00214508411034,-23862.6262312,Exp.Nes100_dDFE.Exponential_div10,1.1807519135481578e-07
59,59,59,59,23.04513013922501,1.5952317855599993,-23838.5695747,Exp.Nes100_dDFE.Exponential_div10,0.7352464820091693
60,60,60,60,0.0061526199080749995,0.000164540603365,-23903.8518366,Exp.Nes100_dDFE.Exponential_div10,2.024711583900343e-08
61,61,61,61,0.0014792967212625002,1.3378187446700003e-06,-23982.6462825,Exp.Nes100_dDFE.Exponential_div10,3.9580617652676905e-11
62,62,62,62,0.017205850195825,4.0595304895400004e-05,-23901.6730033,Exp.Nes100_dDFE.Exponential_div10,1.3969534693681875e-08
63,63,63,63,0.018285224564975,0.000190603088868,-23916.7803472,Exp.Nes100_dDFE.Exponential_div10,6.970440565458534e-08
64,64,64,64,0.003320815235574999,0.0134524280604,-23781.1612563,Exp.Nes100_dDFE.Exponential_div10,8.934605611690591e-07
65,65,65,65,0.006510822083775001,0.00031869507033399993,-23920.3707067,Exp.Nes100_dDFE.Exponential_div10,4.1499338038416685e-08
66,66,66,66,0.017337386299225,0.00021563306695800003,-23839.9737834,Exp.Nes100_dDFE.Exponential_div10,7.477027561474993e-08
67,67,67,67,0.018045037664350002,0.0,-23864.2481386,Exp.Nes100_dDFE.Exponential_div10,0.0
68,68,68,68,0.00115866013268,1.6653345369400003e-08,-23938.1492506,Exp.Nes100_dDFE.Exponential_div10,3.859113471054974e-13
69,69,69,69,0.0066742716441500006,0.000633343377743,-23849.6541405,Exp.Nes100_dDFE.Exponential_div10,8.454211494160576e-08
70,70,70,70,0.01509277517105,0.00228331242802,-23892.052347,Exp.Nes100_dDFE.Exponential_div10,6.892304224274029e-07
71,71,71,71,20.607520379900002,0.5161693517049999,-23889.2571214,Exp.Nes100_dDFE.Exponential_div10,0.21273940869481114
72,72,72,72,0.00865770007535,0.00011455281168099998,-23804.0253667,Exp.Nes100_dDFE.Exponential_div10,1.983527772644296e-08
73,73,73,73,0.0013085603886225,0.0,-23913.4471808,Exp.Nes100_dDFE.Exponential_div10,0.0
74,74,74,74,0.006057896679675,0.00449295045613,-23933.1343724,Exp.Nes100_dDFE.Exponential_div10,5.443565930026842e-07
75,75,75,75,15.196192110450005,10.7560647,-23890.1004562,Exp.Nes100_dDFE.Exponential_div10,3.269024510672596
76,76,76,76,14.19996434715,6.40319491318,-23885.742053,Exp.Nes100_dDFE.Exponential_div10,1.818502789500165
77,77,77,77,0.019081832667625,4.832245714679999e-05,-23857.170767400006,Exp.Nes100_dDFE.Exponential_div10,1.8441620827274347e-08
78,78,78,78,0.012854849381649998,0.00010561551633299997,-23892.5683652,Exp.Nes100_dDFE.Exponential_div10,2.7153431096518197e-08
79,79,79,79,0.0010516412040675,0.035537756071199994,-23841.5347886,Exp.Nes100_dDFE.Exponential_div10,7.474593716914775e-07
80,80,80,80,19.441756019125002,0.07078345132249998,-23980.5254742,Exp.Nes100_dDFE.Exponential_div10,0.02752309181607311
81,81,81,81,0.00020559005225325008,1.1102230246299998e-08,-23896.2819267,Exp.Nes100_dDFE.Exponential_div10,4.56501619292886e-14
82,82,82,82,0.007342055752999999,0.000586258819268,-23841.7060706,Exp.Nes100_dDFE.Exponential_div10,8.608689873507213e-08
83,83,83,83,0.008842364656775,0.0004991451696409999,-23866.3007194,Exp.Nes100_dDFE.Exponential_div10,8.827247213267079e-08
84,84,84,84,0.193570093873,0.0031248226228800004,-23849.6353966,Exp.Nes100_dDFE.Exponential_div10,1.2097444168947116e-05
85,85,85,85,0.004106514858775,0.0007613243369059997,-23877.7635027,Exp.Nes100_dDFE.Exponential_div10,6.252779403703024e-08
86,86,86,86,14.794506016675003,0.000207583950029,-23901.2289899,Exp.Nes100_dDFE.Exponential_div10,6.142203995338408e-05
87,87,87,87,2.4139324011075,0.00538979416653,-23952.9013883,Exp.Nes100_dDFE.Exponential_div10,0.0002602119754777392
88,88,88,88,0.569778854565,0.00384748899407,-23966.9419424,Exp.Nes100_dDFE.Exponential_div10,4.384435743985297e-05
89,89,89,89,24.118751513625003,0.227499313832,-23888.2215217,Exp.Nes100_dDFE.Exponential_div10,0.10973998839668399
90,90,90,90,24.990723682075,2.35150848793,-23907.3203852,Exp.Nes100_dDFE.Exponential_div10,1.1753179771582525
91,91,91,91,0.005654962954425,0.0012635004153999999,-23927.1482835,Exp.Nes100_dDFE.Exponential_div10,1.42900960839752e-07
92,92,92,92,24.833294719299992,3.62457056036,-23882.8253482,Exp.Nes100_dDFE.Exponential_div10,1.800200579126364
93,93,93,93,8.065551847150001,0.353024798283,-23914.6618161,Exp.Nes100_dDFE.Exponential_div10,0.05694679627762414
94,94,94,94,1.08110187469e-08,75364209.08879998,-23817.0944796,Exp.Nes100_dDFE.Exponential_div10,0.01629527754608616
95,95,95,95,23.915814130124996,0.160498681012,-23908.8884111,Exp.Nes100_dDFE.Exponential_div10,0.07676913246426427
96,96,96,96,0.011856866254525,6.27886631577e-05,-23856.5894378,Exp.Nes100_dDFE.Exponential_div10,1.4889535627225406e-08
97,97,97,97,5.368409266175,4.19370448923,-23887.6898258,Exp.Nes100_dDFE.Exponential_div10,0.4502704407916405
98,98,98,98,0.0033672652056249996,0.0004174716128349999,-23957.8658995,Exp.Nes100_dDFE.Exponential_div10,2.8114752724708927e-08
99,99,99,99,0.0148674071535,0.0,-23972.195984,Exp.Nes100_dDFE.Exponential_div10,0.0
