,rep,NeSa,pa,AIC,identifier
0,0,396.473619191,2.26064488382e-05,-24261.6199245,Nes200_dDFE.Exponential_div10
1,1,452.412645676,1.69709135539e-05,-24272.0927637,Nes200_dDFE.Exponential_div10
2,2,424.524165486,2.07307650973e-05,-24244.6971133,Nes200_dDFE.Exponential_div10
3,3,370.144406247,2.26036411125e-05,-24280.9485538,Nes200_dDFE.Exponential_div10
4,4,332.975916452,2.25873106135e-05,-24184.7665431,Nes200_dDFE.Exponential_div10
5,5,361.962346556,2.23548591133e-05,-24340.6194106,Nes200_dDFE.Exponential_div10
6,6,368.60390162,2.07783999153e-05,-24291.9107895,Nes200_dDFE.Exponential_div10
7,7,446.598231728,1.90323963792e-05,-24235.1891113,Nes200_dDFE.Exponential_div10
8,8,304.950788199,2.7936083821e-05,-24133.8087658,Nes200_dDFE.Exponential_div10
9,9,347.27209212,2.608389526e-05,-24340.1546849,Nes200_dDFE.Exponential_div10
10,10,419.141936614,2.03748328423e-05,-24197.0042478,Nes200_dDFE.Exponential_div10
11,11,356.93354474,2.60438563792e-05,-24336.3501099,Nes200_dDFE.Exponential_div10
12,12,382.431114052,1.89154150111e-05,-24223.9003312,Nes200_dDFE.Exponential_div10
13,13,298.318922551,3.43628502443e-05,-24256.3723039,Nes200_dDFE.Exponential_div10
14,14,350.398225672,2.37432281073e-05,-24198.6081249,Nes200_dDFE.Exponential_div10
15,15,369.485557696,2.48586374295e-05,-24340.6845741,Nes200_dDFE.Exponential_div10
16,16,354.209064323,2.35751134262e-05,-24322.0013633,Nes200_dDFE.Exponential_div10
17,17,345.102608019,2.6453606883e-05,-24268.8202302,Nes200_dDFE.Exponential_div10
18,18,397.150417841,1.86290943138e-05,-24252.4020143,Nes200_dDFE.Exponential_div10
19,19,356.899730604,2.79247021306e-05,-24286.9167942,Nes200_dDFE.Exponential_div10
20,20,412.145642615,2.28799630052e-05,-24216.8401371,Nes200_dDFE.Exponential_div10
21,21,378.341007733,2.4329661426e-05,-24301.7500088,Nes200_dDFE.Exponential_div10
22,22,373.812495491,2.25774383927e-05,-24212.4305197,Nes200_dDFE.Exponential_div10
23,23,353.149248512,2.22036947112e-05,-24282.3514427,Nes200_dDFE.Exponential_div10
24,24,373.815567681,2.24151099127e-05,-24248.1577464,Nes200_dDFE.Exponential_div10
25,25,386.960874809,2.30723172948e-05,-24312.0031358,Nes200_dDFE.Exponential_div10
26,26,422.413174864,2.02360408884e-05,-24324.2997038,Nes200_dDFE.Exponential_div10
27,27,316.864490957,2.64117959479e-05,-24215.9787088,Nes200_dDFE.Exponential_div10
28,28,334.770847256,2.35652100157e-05,-24276.6746369,Nes200_dDFE.Exponential_div10
29,29,346.721982908,2.32514327882e-05,-24291.5255547,Nes200_dDFE.Exponential_div10
30,30,430.187429517,1.85762727706e-05,-24287.2253449,Nes200_dDFE.Exponential_div10
31,31,392.507540296,2.12687508674e-05,-24282.206967,Nes200_dDFE.Exponential_div10
32,32,357.044713089,2.4820795853e-05,-24244.0865315,Nes200_dDFE.Exponential_div10
33,33,362.237008901,2.43499356978e-05,-24246.8576713,Nes200_dDFE.Exponential_div10
34,34,348.500102348,2.35173056307e-05,-24298.14495,Nes200_dDFE.Exponential_div10
35,35,393.444752325,2.1065042055e-05,-24184.2159936,Nes200_dDFE.Exponential_div10
36,36,335.349278271,2.42169102758e-05,-24291.5191991,Nes200_dDFE.Exponential_div10
37,37,338.511362784,2.56405038824e-05,-24299.5628182,Nes200_dDFE.Exponential_div10
38,38,388.009115398,2.31626728132e-05,-24303.3306607,Nes200_dDFE.Exponential_div10
39,39,335.521065738,2.65606771039e-05,-24254.9001667,Nes200_dDFE.Exponential_div10
40,40,366.966829196,2.35338942876e-05,-24246.8917676,Nes200_dDFE.Exponential_div10
41,41,338.263114064,2.29005918351e-05,-24331.3928394,Nes200_dDFE.Exponential_div10
42,42,364.813372388,2.75922072297e-05,-24238.5409448,Nes200_dDFE.Exponential_div10
43,43,441.558831671,1.68225507403e-05,-24204.4810996,Nes200_dDFE.Exponential_div10
44,44,337.800811618,2.89323341567e-05,-24346.4326592,Nes200_dDFE.Exponential_div10
45,45,404.111416185,2.05203931699e-05,-24343.2307339,Nes200_dDFE.Exponential_div10
46,46,366.137851901,2.2912942199e-05,-24248.5981161,Nes200_dDFE.Exponential_div10
47,47,409.345011184,2.1065695454e-05,-24321.1346205,Nes200_dDFE.Exponential_div10
48,48,404.085466511,2.0696704421e-05,-24232.3670493,Nes200_dDFE.Exponential_div10
49,49,375.186410779,2.25040890063e-05,-24227.2283508,Nes200_dDFE.Exponential_div10
50,50,351.234374914,2.58316750488e-05,-24346.6782751,Nes200_dDFE.Exponential_div10
51,51,352.182641286,2.50396096503e-05,-24183.3882868,Nes200_dDFE.Exponential_div10
52,52,364.347607184,2.28464592834e-05,-24220.4956202,Nes200_dDFE.Exponential_div10
53,53,385.797976166,2.18310755774e-05,-24285.1747021,Nes200_dDFE.Exponential_div10
54,54,347.857216233,2.48231389541e-05,-24236.1119654,Nes200_dDFE.Exponential_div10
55,55,427.067395717,1.89870678373e-05,-24240.2324869,Nes200_dDFE.Exponential_div10
56,56,352.449255115,2.33102505952e-05,-24186.764607,Nes200_dDFE.Exponential_div10
57,57,429.864557133,1.98980835309e-05,-24230.2373354,Nes200_dDFE.Exponential_div10
58,58,355.244982515,2.32519689173e-05,-24305.7184586,Nes200_dDFE.Exponential_div10
59,59,382.716068124,2.18720822329e-05,-24289.4789825,Nes200_dDFE.Exponential_div10
60,60,404.698309457,2.23887339528e-05,-24279.3015434,Nes200_dDFE.Exponential_div10
61,61,347.909855689,2.23489098545e-05,-24253.7192101,Nes200_dDFE.Exponential_div10
62,62,363.092153959,2.80054919157e-05,-24316.0368273,Nes200_dDFE.Exponential_div10
63,63,439.51700544,1.99602561666e-05,-24253.7339345,Nes200_dDFE.Exponential_div10
64,64,321.121980616,2.87744642486e-05,-24238.8446244,Nes200_dDFE.Exponential_div10
65,65,348.691852613,2.22091065708e-05,-24245.5715879,Nes200_dDFE.Exponential_div10
66,66,349.993739059,2.81036190527e-05,-24219.4420272,Nes200_dDFE.Exponential_div10
67,67,296.891586273,3.28294949938e-05,-24274.293113,Nes200_dDFE.Exponential_div10
68,68,372.683805795,2.37640193252e-05,-24282.1363365,Nes200_dDFE.Exponential_div10
69,69,359.230572329,2.25457841773e-05,-24234.2638468,Nes200_dDFE.Exponential_div10
70,70,363.467941511,2.47637622198e-05,-24228.2374382,Nes200_dDFE.Exponential_div10
71,71,399.205114587,2.00773553526e-05,-24242.9801155,Nes200_dDFE.Exponential_div10
72,72,372.193494002,2.31863114229e-05,-24288.254712,Nes200_dDFE.Exponential_div10
73,73,380.399455831,2.22015935762e-05,-24308.6868866,Nes200_dDFE.Exponential_div10
74,74,393.936512123,2.10678690575e-05,-24289.2036735,Nes200_dDFE.Exponential_div10
75,75,404.557405651,2.02414546534e-05,-24213.827217,Nes200_dDFE.Exponential_div10
76,76,352.87259445,2.51835262755e-05,-24218.7628715,Nes200_dDFE.Exponential_div10
77,77,351.997181121,2.63178507066e-05,-24346.1554574,Nes200_dDFE.Exponential_div10
78,78,315.011115187,3.00147117118e-05,-24141.7307833,Nes200_dDFE.Exponential_div10
79,79,411.876874494,2.09236422762e-05,-24301.6986165,Nes200_dDFE.Exponential_div10
80,80,374.584650194,2.14921356109e-05,-24356.8602809,Nes200_dDFE.Exponential_div10
81,81,359.865417849,2.45588624578e-05,-24252.1804244,Nes200_dDFE.Exponential_div10
82,82,350.295831184,2.55341146332e-05,-24270.5216481,Nes200_dDFE.Exponential_div10
83,83,303.341976114,3.27656062602e-05,-24297.0835928,Nes200_dDFE.Exponential_div10
84,84,346.889983259,2.41820476762e-05,-24211.831139,Nes200_dDFE.Exponential_div10
85,85,471.045487392,1.85986595426e-05,-24270.2906673,Nes200_dDFE.Exponential_div10
86,86,408.234409593,2.03703258171e-05,-24182.1353119,Nes200_dDFE.Exponential_div10
87,87,342.980586367,1.90690178212e-05,-24261.5724677,Nes200_dDFE.Exponential_div10
88,88,431.559870141,2.06690607067e-05,-24348.5800089,Nes200_dDFE.Exponential_div10
89,89,409.010305633,2.25020818476e-05,-24307.7624391,Nes200_dDFE.Exponential_div10
90,90,384.801570359,2.37441425939e-05,-24332.6864221,Nes200_dDFE.Exponential_div10
91,91,388.285965338,2.18422508022e-05,-24323.9908553,Nes200_dDFE.Exponential_div10
92,92,352.067426145,2.46286773437e-05,-24233.8525597,Nes200_dDFE.Exponential_div10
93,93,361.966212979,2.34920949151e-05,-24280.5266609,Nes200_dDFE.Exponential_div10
94,94,394.481766142,2.16362029161e-05,-24256.6717648,Nes200_dDFE.Exponential_div10
95,95,368.232214558,2.40869437331e-05,-24225.8290841,Nes200_dDFE.Exponential_div10
96,96,374.843146162,2.01733762367e-05,-24308.1020603,Nes200_dDFE.Exponential_div10
97,97,347.938998758,2.35593510756e-05,-24271.0550917,Nes200_dDFE.Exponential_div10
98,98,454.618215318,1.60837023149e-05,-24182.3605235,Nes200_dDFE.Exponential_div10
99,99,357.065368828,2.37191408167e-05,-24288.8408351,Nes200_dDFE.Exponential_div10
100,100,363.215932095,2.51451963567e-05,-24217.522975,Nes200_dDFE.Exponential_div10
101,101,367.177428828,2.38204285549e-05,-24207.7001094,Nes200_dDFE.Exponential_div10
102,102,324.020033987,2.73220453818e-05,-24227.3128,Nes200_dDFE.Exponential_div10
103,103,398.486212729,2.12283398207e-05,-24207.914138,Nes200_dDFE.Exponential_div10
104,104,328.69827417,2.89827025536e-05,-24275.5018875,Nes200_dDFE.Exponential_div10
105,105,413.621635043,1.94972825798e-05,-24257.2621021,Nes200_dDFE.Exponential_div10
106,106,398.424553234,2.0300780365e-05,-24274.5772148,Nes200_dDFE.Exponential_div10
107,107,347.736388723,2.5126514663e-05,-24222.0673578,Nes200_dDFE.Exponential_div10
108,108,377.7638464,2.35103249384e-05,-24175.2177315,Nes200_dDFE.Exponential_div10
109,109,396.593599023,2.10693511422e-05,-24285.4815978,Nes200_dDFE.Exponential_div10
110,110,421.466299736,2.15598258923e-05,-24267.1302754,Nes200_dDFE.Exponential_div10
111,111,368.932839118,2.22288276786e-05,-24253.0402302,Nes200_dDFE.Exponential_div10
112,112,333.068165407,2.87976512449e-05,-24246.2356233,Nes200_dDFE.Exponential_div10
113,113,429.224740087,1.9592750837e-05,-24146.0495365,Nes200_dDFE.Exponential_div10
114,114,397.647565713,2.00821111658e-05,-24196.0626373,Nes200_dDFE.Exponential_div10
115,115,397.624821454,2.07772680859e-05,-24244.6924598,Nes200_dDFE.Exponential_div10
116,116,402.289870622,2.08122497499e-05,-24217.6269851,Nes200_dDFE.Exponential_div10
117,117,374.300065525,2.43657685504e-05,-24255.213851,Nes200_dDFE.Exponential_div10
118,118,385.493404532,2.58120967206e-05,-24242.4415951,Nes200_dDFE.Exponential_div10
119,119,366.090386598,2.45237568436e-05,-24230.3194654,Nes200_dDFE.Exponential_div10
120,120,373.501356739,2.1308141079e-05,-24306.9407926,Nes200_dDFE.Exponential_div10
121,121,311.639151356,3.02824160531e-05,-24366.8107296,Nes200_dDFE.Exponential_div10
122,122,393.714154362,2.11699943847e-05,-24333.1993672,Nes200_dDFE.Exponential_div10
123,123,398.255277955,1.98355238432e-05,-24281.2956394,Nes200_dDFE.Exponential_div10
124,124,408.808556169,2.22246895417e-05,-24236.7495297,Nes200_dDFE.Exponential_div10
125,125,338.207262224,2.82137329366e-05,-24388.2749662,Nes200_dDFE.Exponential_div10
126,126,469.641485662,1.75617579093e-05,-24205.9714814,Nes200_dDFE.Exponential_div10
127,127,350.955719676,2.52511643924e-05,-24303.4880247,Nes200_dDFE.Exponential_div10
128,128,372.463016606,2.3153191238e-05,-24236.9355752,Nes200_dDFE.Exponential_div10
129,129,330.603316578,3.11510213785e-05,-24305.5069395,Nes200_dDFE.Exponential_div10
130,130,416.923641897,1.72863089986e-05,-24213.0311932,Nes200_dDFE.Exponential_div10
131,131,419.476300073,1.89759290014e-05,-24139.4468284,Nes200_dDFE.Exponential_div10
132,132,353.728138742,2.57903833493e-05,-24306.7278799,Nes200_dDFE.Exponential_div10
133,133,387.714914689,2.11891437706e-05,-24286.5690581,Nes200_dDFE.Exponential_div10
134,134,332.932870969,2.69809873389e-05,-24203.9356606,Nes200_dDFE.Exponential_div10
135,135,374.056198626,2.42952306174e-05,-24245.6272037,Nes200_dDFE.Exponential_div10
136,136,340.800450618,2.69002574191e-05,-24231.0306278,Nes200_dDFE.Exponential_div10
137,137,354.037830441,2.63331417877e-05,-24261.5572249,Nes200_dDFE.Exponential_div10
138,138,322.370327159,2.77614343684e-05,-24255.1992614,Nes200_dDFE.Exponential_div10
139,139,348.268316002,2.41917124115e-05,-24290.8166017,Nes200_dDFE.Exponential_div10
140,140,383.75387675,2.36737177624e-05,-24283.0871237,Nes200_dDFE.Exponential_div10
141,141,376.571588367,2.55077248474e-05,-24327.3607165,Nes200_dDFE.Exponential_div10
142,142,368.954002964,2.03082742516e-05,-24244.4203691,Nes200_dDFE.Exponential_div10
143,143,342.348921188,2.34912470997e-05,-24234.4230072,Nes200_dDFE.Exponential_div10
144,144,345.500919618,2.50531219463e-05,-24211.0770499,Nes200_dDFE.Exponential_div10
145,145,304.462532285,2.85953403749e-05,-24354.1380525,Nes200_dDFE.Exponential_div10
146,146,406.049594561,1.80656531071e-05,-24208.9080701,Nes200_dDFE.Exponential_div10
147,147,357.992218766,2.8579520619e-05,-24192.0959047,Nes200_dDFE.Exponential_div10
148,148,383.247457073,2.26037276916e-05,-24236.0478707,Nes200_dDFE.Exponential_div10
149,149,422.469727632,2.02138976524e-05,-24277.7774429,Nes200_dDFE.Exponential_div10
150,150,381.440102251,2.27684301684e-05,-24290.8427229,Nes200_dDFE.Exponential_div10
151,151,443.785644342,1.75269024557e-05,-24192.8895091,Nes200_dDFE.Exponential_div10
152,152,382.227730995,2.13101347561e-05,-24271.7167,Nes200_dDFE.Exponential_div10
153,153,337.013207791,2.73157315472e-05,-24231.0874815,Nes200_dDFE.Exponential_div10
154,154,419.365288797,2.04557360567e-05,-24318.8948917,Nes200_dDFE.Exponential_div10
155,155,376.37295715,2.46694829102e-05,-24281.5977034,Nes200_dDFE.Exponential_div10
156,156,346.005011491,2.66183164844e-05,-24203.3014102,Nes200_dDFE.Exponential_div10
157,157,449.908549533,1.77712462203e-05,-24178.5237542,Nes200_dDFE.Exponential_div10
158,158,328.357259976,2.6783657779e-05,-24201.2791489,Nes200_dDFE.Exponential_div10
159,159,338.826068034,2.32969639972e-05,-24284.7895121,Nes200_dDFE.Exponential_div10
160,160,335.100533798,2.48539787363e-05,-24231.8063461,Nes200_dDFE.Exponential_div10
161,161,373.286542353,1.94690294015e-05,-24252.204539,Nes200_dDFE.Exponential_div10
162,162,370.990957409,1.92139230753e-05,-24347.8611929,Nes200_dDFE.Exponential_div10
163,163,355.200911648,2.4030327955e-05,-24277.0113752,Nes200_dDFE.Exponential_div10
164,164,343.691838255,2.22784146615e-05,-24260.4986518,Nes200_dDFE.Exponential_div10
