,rep,NeSa,pa,AIC,identifier
63,63,731.408982599,1.90603088868e-12,-23916.7803472,Exp.Nes100_dDFE.Exponential_div10
64,64,132.832609423,1.34524280604e-10,-23781.1612563,Exp.Nes100_dDFE.Exponential_div10
65,65,260.432883351,3.18695070334e-12,-23920.3707067,Exp.Nes100_dDFE.Exponential_div10
66,66,693.495451969,2.15633066958e-12,-23839.9737834,Exp.Nes100_dDFE.Exponential_div10
67,67,721.801506574,0.0,-23864.2481386,Exp.Nes100_dDFE.Exponential_div10
68,68,46.3464053072,1.66533453694e-16,-23938.1492506,Exp.Nes100_dDFE.Exponential_div10
69,69,266.970865766,6.33343377743e-12,-23849.6541405,Exp.Nes100_dDFE.Exponential_div10
70,70,603.711006842,2.28331242802e-11,-23892.052347,Exp.Nes100_dDFE.Exponential_div10
71,71,824300.815196,5.16169351705e-09,-23889.2571214,Exp.Nes100_dDFE.Exponential_div10
72,72,346.308003014,1.14552811681e-12,-23804.0253667,Exp.Nes100_dDFE.Exponential_div10
73,73,52.3424155449,0.0,-23913.4471808,Exp.Nes100_dDFE.Exponential_div10
74,74,242.315867187,4.49295045613e-11,-23933.1343724,Exp.Nes100_dDFE.Exponential_div10
75,75,607847.684418,1.07560647e-07,-23890.1004562,Exp.Nes100_dDFE.Exponential_div10
76,76,567998.573886,6.40319491318e-08,-23885.742053,Exp.Nes100_dDFE.Exponential_div10
77,77,763.273306705,4.83224571468e-13,-23857.1707674,Exp.Nes100_dDFE.Exponential_div10
78,78,514.193975266,1.05615516333e-12,-23892.5683652,Exp.Nes100_dDFE.Exponential_div10
79,79,42.0656481627,3.55377560712e-10,-23841.5347886,Exp.Nes100_dDFE.Exponential_div10
80,80,777670.240765,7.07834513225e-10,-23980.5254742,Exp.Nes100_dDFE.Exponential_div10
81,81,8.22360209013,1.11022302463e-16,-23896.2819267,Exp.Nes100_dDFE.Exponential_div10
82,82,293.68223012,5.86258819268e-12,-23841.7060706,Exp.Nes100_dDFE.Exponential_div10
83,83,353.694586271,4.99145169641e-12,-23866.3007194,Exp.Nes100_dDFE.Exponential_div10
84,84,7742.80375492,3.12482262288e-11,-23849.6353966,Exp.Nes100_dDFE.Exponential_div10
85,85,164.260594351,7.61324336906e-12,-23877.7635027,Exp.Nes100_dDFE.Exponential_div10
86,86,591780.240667,2.07583950029e-12,-23901.2289899,Exp.Nes100_dDFE.Exponential_div10
