,rep,NeSa,pa,AIC,identifier
69,69,461.105982341,5.63543656185e-12,-23108.9611661,Nes10_dDFE.Exponential_div10
70,70,239.505745979,6.33038066411e-12,-23119.1917268,Nes10_dDFE.Exponential_div10
71,71,450.246796291,3.5459968295e-12,-23140.8982679,Nes10_dDFE.Exponential_div10
72,72,831.083657643,6.09590156131e-12,-23119.8111739,Nes10_dDFE.Exponential_div10
73,73,932.171998989,3.93352017625e-13,-23189.6042967,Nes10_dDFE.Exponential_div10
74,74,113.407065304,1.74115610818e-10,-23198.2059622,Nes10_dDFE.Exponential_div10
75,75,1521.24515412,9.13286113402e-12,-23221.4703715,Nes10_dDFE.Exponential_div10
76,76,2.16328352426,1.18781565139e-08,-23216.2805395,Nes10_dDFE.Exponential_div10
77,77,517.297176146,1.66533453694e-16,-23179.6761555,Nes10_dDFE.Exponential_div10
78,78,99.9596318985,2.28216667786e-10,-23207.0115672,Nes10_dDFE.Exponential_div10
79,79,479.805783383,2.14791517905e-11,-23102.5239075,Nes10_dDFE.Exponential_div10
80,80,693.583771632,4.52554660413e-12,-23148.7867358,Nes10_dDFE.Exponential_div10
81,81,5.40363577262,5.94858886038e-08,-23244.2428331,Nes10_dDFE.Exponential_div10
82,82,211.351447474,1.10398357123e-11,-23108.8693323,Nes10_dDFE.Exponential_div10
83,83,29.0414807487,0.0,-23099.5083992,Nes10_dDFE.Exponential_div10
84,84,6570.28472779,3.31139005105e-10,-23191.0133598,Nes10_dDFE.Exponential_div10
85,85,1517.8153928,2.82002754481e-11,-23161.3105295,Nes10_dDFE.Exponential_div10
86,86,803.057784623,1.10289555266e-12,-23049.8128744,Nes10_dDFE.Exponential_div10
87,87,1679.21845467,5.5117577169e-12,-23161.8058533,Nes10_dDFE.Exponential_div10
88,88,404.961932428,2.20068407941e-12,-23246.1645562,Nes10_dDFE.Exponential_div10
89,89,332.915964587,4.47221704114e-11,-23114.6154987,Nes10_dDFE.Exponential_div10
90,90,916.661947439,7.33801908126e-13,-23207.0598045,Nes10_dDFE.Exponential_div10
91,91,374.649417921,1.37989064619e-11,-23157.0041032,Nes10_dDFE.Exponential_div10
92,92,482.406753246,1.36746169943e-12,-23136.6110693,Nes10_dDFE.Exponential_div10
93,93,641.253510863,3.26683124996e-13,-23158.915026,Nes10_dDFE.Exponential_div10
94,94,2344.73531838,1.96676008812e-13,-23177.5705706,Nes10_dDFE.Exponential_div10
95,95,409.241493531,2.0317580951e-11,-23210.8875927,Nes10_dDFE.Exponential_div10
96,96,900.944718215,1.48686618573e-12,-23170.4642129,Nes10_dDFE.Exponential_div10
97,97,951.548241149,2.38475905689e-13,-23222.9487452,Nes10_dDFE.Exponential_div10
98,98,642.38667272,4.62685445513e-13,-23192.1182951,Nes10_dDFE.Exponential_div10
99,99,1557.07209602,3.34371419441e-12,-23109.41424,Nes10_dDFE.Exponential_div10
100,100,327.305831059,1.03995145828e-11,-23184.6334841,Nes10_dDFE.Exponential_div10
101,101,15.302683187,2.63910782117e-10,-23149.9871134,Nes10_dDFE.Exponential_div10
102,102,449.270220692,3.58808538437e-11,-23133.1843498,Nes10_dDFE.Exponential_div10
103,103,648.730617235,2.18375317829e-12,-23155.9180828,Nes10_dDFE.Exponential_div10
104,104,544.842623052,8.65973959208e-14,-23085.5315388,Nes10_dDFE.Exponential_div10
105,105,1438.71711085,4.93383112143e-13,-23143.7664177,Nes10_dDFE.Exponential_div10
106,106,557.564591472,4.99600361081e-16,-23137.052103,Nes10_dDFE.Exponential_div10
107,107,698.176547365,3.97715194111e-12,-23209.7091839,Nes10_dDFE.Exponential_div10
108,108,255.246864558,1.0180079002e-11,-23173.0823367,Nes10_dDFE.Exponential_div10
109,109,118.30672441,9.38532584982e-12,-23147.7656953,Nes10_dDFE.Exponential_div10
110,110,12018.2263762,9.02755648013e-12,-23205.7234165,Nes10_dDFE.Exponential_div10
111,111,992.836768966,1.75748304798e-13,-23093.7526075,Nes10_dDFE.Exponential_div10
112,112,669.974201399,6.79678535676e-13,-23144.3919725,Nes10_dDFE.Exponential_div10
113,113,777.555184106,7.94675436566e-12,-23200.6980953,Nes10_dDFE.Exponential_div10
114,114,792.672426789,5.55999690732e-13,-23187.6703442,Nes10_dDFE.Exponential_div10
115,115,872.876095963,8.59257109909e-13,-23147.0943919,Nes10_dDFE.Exponential_div10
116,116,3266.17802661,1.06266995203e-10,-23106.8956356,Nes10_dDFE.Exponential_div10
117,117,898.280528087,2.10981232485e-12,-23107.2565158,Nes10_dDFE.Exponential_div10
118,118,537.087292116,5.55111512313e-17,-23142.9663062,Nes10_dDFE.Exponential_div10
119,119,19.2525415894,1.44325884577e-10,-23176.5700064,Nes10_dDFE.Exponential_div10
120,120,737.568968164,1.46160861192e-13,-23170.9444718,Nes10_dDFE.Exponential_div10
121,121,770.544900041,2.8493873927e-13,-23201.0862312,Nes10_dDFE.Exponential_div10
122,122,1108.72008544,1.19060317161e-12,-23195.5688488,Nes10_dDFE.Exponential_div10
123,123,1742.12848374,5.93415871997e-11,-23187.0266646,Nes10_dDFE.Exponential_div10
124,124,73.2638341548,2.48581932816e-10,-23176.1563837,Nes10_dDFE.Exponential_div10
125,125,695.508871141,8.78852546293e-13,-23192.8924385,Nes10_dDFE.Exponential_div10
126,126,1139.71962348,1.10184084079e-12,-23090.489823,Nes10_dDFE.Exponential_div10
127,127,518.007027917,6.66910970892e-13,-23147.1072989,Nes10_dDFE.Exponential_div10
128,128,287.364498411,1.20187193531e-11,-23217.894389,Nes10_dDFE.Exponential_div10
129,129,1083.57529517,3.46445094834e-13,-23121.4610637,Nes10_dDFE.Exponential_div10
130,130,288.707839542,3.59751117784e-12,-23112.9072555,Nes10_dDFE.Exponential_div10
131,131,137.054914522,1.83704162993e-11,-23211.3923315,Nes10_dDFE.Exponential_div10
132,132,12.1310241322,3.47190498573e-10,-23227.5436633,Nes10_dDFE.Exponential_div10
133,133,1395.42051045,3.61438656782e-12,-23070.8565331,Nes10_dDFE.Exponential_div10
134,134,504.803408439,9.16128284345e-12,-23124.7109658,Nes10_dDFE.Exponential_div10
135,135,112.272247361,5.50310907954e-10,-23133.9500962,Nes10_dDFE.Exponential_div10
136,136,1093.78628538,3.39395178628e-13,-23195.0508148,Nes10_dDFE.Exponential_div10
137,137,2177.24612054,1.91069382538e-12,-23121.6237679,Nes10_dDFE.Exponential_div10
138,138,811.423991332,4.88220575079e-13,-23182.8245481,Nes10_dDFE.Exponential_div10
139,139,429.144190415,3.86402021491e-12,-23209.0876088,Nes10_dDFE.Exponential_div10
140,140,13.1010696343,9.98939375663e-10,-23152.3216633,Nes10_dDFE.Exponential_div10
