,rep,NeSa,pa,AIC,identifier
0,0,10.4402767173,1.381218806e-08,-23084.3114392,Exp.Nes10_dDFE.Exponential
1,1,971192.972978,2.91519919315e-09,-23237.4383448,Exp.Nes10_dDFE.Exponential
2,2,48.3322764901,4.23202028976e-11,-23273.8729137,Exp.Nes10_dDFE.Exponential
3,3,730398.337505,9.44164929573e-09,-23159.6198855,Exp.Nes10_dDFE.Exponential
4,4,129.243832064,3.48582274157e-12,-23233.2589252,Exp.Nes10_dDFE.Exponential
5,5,992513.981693,7.09655306741e-08,-23114.0882735,Exp.Nes10_dDFE.Exponential
6,6,429.94596496,3.62676555454e-12,-23217.0914177,Exp.Nes10_dDFE.Exponential
7,7,865167.172181,8.59301402256e-09,-23149.188034,Exp.Nes10_dDFE.Exponential
8,8,431116.45012,2.08571437899e-10,-23215.7641019,Exp.Nes10_dDFE.Exponential
9,9,561189.811854,1.73195701891e-07,-23178.696285,Exp.Nes10_dDFE.Exponential
10,10,0.223038938707,0.000437881474278,-23226.8600019,Exp.Nes10_dDFE.Exponential
11,11,587561.84933,3.13832293486e-11,-23198.3840431,Exp.Nes10_dDFE.Exponential
12,12,0.0355954117293,0.0273865790789,-23192.729784,Exp.Nes10_dDFE.Exponential
13,13,297.182237599,3.07254222065e-13,-23203.0704299,Exp.Nes10_dDFE.Exponential
14,14,589.08370258,6.78812561716e-12,-23201.9045945,Exp.Nes10_dDFE.Exponential
15,15,841417.625372,4.39731717705e-09,-23149.7594069,Exp.Nes10_dDFE.Exponential
16,16,16194.893834,1.13520304268e-13,-23143.3187134,Exp.Nes10_dDFE.Exponential
17,17,10.3271850918,3.35622529768e-10,-23256.3702818,Exp.Nes10_dDFE.Exponential
18,18,131.71053432,8.37807601073e-12,-23157.2636005,Exp.Nes10_dDFE.Exponential
19,19,274.629159913,2.69756439408e-12,-23182.8110499,Exp.Nes10_dDFE.Exponential
20,20,635.67477813,9.74964553535e-12,-23142.2566879,Exp.Nes10_dDFE.Exponential
21,21,41598.4030698,2.92277313463e-12,-23096.2107861,Exp.Nes10_dDFE.Exponential
22,22,316.992661356,3.53111984097e-12,-23176.8863725,Exp.Nes10_dDFE.Exponential
23,23,968399.278639,4.53160314828e-09,-23218.4457113,Exp.Nes10_dDFE.Exponential
24,24,944191.975876,1.3582656111e-09,-23085.8792568,Exp.Nes10_dDFE.Exponential
25,25,201.511272388,1.83720816338e-11,-23144.6581286,Exp.Nes10_dDFE.Exponential
26,26,210.433192366,2.76030864832e-11,-23122.5942416,Exp.Nes10_dDFE.Exponential
27,27,47.0679502062,0.0,-23094.4866264,Exp.Nes10_dDFE.Exponential
28,28,0.0852694091447,0.0088393574965,-23244.3493797,Exp.Nes10_dDFE.Exponential
29,29,999585.594372,1.81195214388e-09,-23046.8040774,Exp.Nes10_dDFE.Exponential
30,30,4.75150381352,1.10683895382e-09,-23134.3181579,Exp.Nes10_dDFE.Exponential
31,31,946278.828171,3.63213403798e-10,-23168.5439188,Exp.Nes10_dDFE.Exponential
32,32,169.091297217,3.81267240002e-12,-23136.1927037,Exp.Nes10_dDFE.Exponential
33,33,951797.456554,7.26895009184e-08,-23131.7882893,Exp.Nes10_dDFE.Exponential
34,34,651.017852684,1.52428070166e-12,-23179.7932456,Exp.Nes10_dDFE.Exponential
35,35,11.8881997664,1.22199899089e-08,-23277.8165528,Exp.Nes10_dDFE.Exponential
36,36,832914.064576,6.56363080553e-09,-23162.9560845,Exp.Nes10_dDFE.Exponential
37,37,944.328518479,3.15980575039e-12,-23149.1776326,Exp.Nes10_dDFE.Exponential
38,38,1852.09657496,0.0,-23164.7266619,Exp.Nes10_dDFE.Exponential
39,39,990648.932325,1.08787556741e-09,-23117.5264577,Exp.Nes10_dDFE.Exponential
40,40,339.667212443,2.80795942054e-11,-23256.6353184,Exp.Nes10_dDFE.Exponential
41,41,227.740418279,9.49085809943e-11,-23034.2103389,Exp.Nes10_dDFE.Exponential
42,42,0.0981208054807,0.170197835926,-23187.2145668,Exp.Nes10_dDFE.Exponential
43,43,148.405458613,1.05471187339e-15,-23210.2780495,Exp.Nes10_dDFE.Exponential
44,44,589298.562097,6.83338496899e-10,-23174.9587487,Exp.Nes10_dDFE.Exponential
45,45,698585.848182,2.96698804414e-09,-23209.5323415,Exp.Nes10_dDFE.Exponential
46,46,996928.02226,1.23887305969e-09,-23156.9304908,Exp.Nes10_dDFE.Exponential
47,47,44.9902547391,7.43764438926e-10,-23224.97436,Exp.Nes10_dDFE.Exponential
48,48,809997.876653,7.02263913688e-10,-23200.7500118,Exp.Nes10_dDFE.Exponential
49,49,654132.005603,1.51911538904e-10,-23104.2389715,Exp.Nes10_dDFE.Exponential
50,50,0.0841711734756,0.00302154666642,-23136.4128271,Exp.Nes10_dDFE.Exponential
51,51,862010.930244,3.41765897249e-08,-23145.3757576,Exp.Nes10_dDFE.Exponential
52,52,68.011485947,1.68274838508e-11,-23130.136493,Exp.Nes10_dDFE.Exponential
53,53,984499.991233,1.97305016769e-09,-23268.487301,Exp.Nes10_dDFE.Exponential
54,54,662.905667696,0.0,-23104.2675179,Exp.Nes10_dDFE.Exponential
55,55,799414.551296,5.59949764334e-09,-23195.1539399,Exp.Nes10_dDFE.Exponential
56,56,827.776910219,6.65578703263e-14,-23211.0585944,Exp.Nes10_dDFE.Exponential
57,57,9.51599360682,1.66533453694e-16,-23159.1439536,Exp.Nes10_dDFE.Exponential
58,58,183.496979846,3.37792571692e-11,-23221.6523859,Exp.Nes10_dDFE.Exponential
59,59,623.400546122,8.45906678038e-12,-23223.679847,Exp.Nes10_dDFE.Exponential
60,60,19.5757446991,3.32455729612e-10,-23145.5404683,Exp.Nes10_dDFE.Exponential
61,61,19.5894395082,2.4507179619e-10,-23142.1673585,Exp.Nes10_dDFE.Exponential
62,62,0.151368126589,0.830774282738,-23141.1592159,Exp.Nes10_dDFE.Exponential
63,63,12626.4122248,1.84396720115e-10,-23148.1367987,Exp.Nes10_dDFE.Exponential
64,64,288.357877827,0.0,-23164.3827806,Exp.Nes10_dDFE.Exponential
65,65,503.674493431,5.55111512313e-17,-23141.2493529,Exp.Nes10_dDFE.Exponential
66,66,571621.797419,5.35197997031e-11,-23111.8098249,Exp.Nes10_dDFE.Exponential
67,67,12.2192835234,1.6710337003e-09,-23131.1407468,Exp.Nes10_dDFE.Exponential
68,68,429.478744115,1.14008802399e-12,-23194.3659761,Exp.Nes10_dDFE.Exponential
69,69,256.582116157,8.71192007423e-13,-23088.9512048,Exp.Nes10_dDFE.Exponential
70,70,130.505770057,8.08895728177e-11,-23186.303086,Exp.Nes10_dDFE.Exponential
71,71,879888.096653,1.7124635987e-08,-23132.7504124,Exp.Nes10_dDFE.Exponential
72,72,3234.80286042,8.65859606236e-11,-23228.0254566,Exp.Nes10_dDFE.Exponential
73,73,111.424239425,3.3392677512e-11,-23219.0594841,Exp.Nes10_dDFE.Exponential
74,74,558894.438849,9.98790328222e-10,-23127.0464931,Exp.Nes10_dDFE.Exponential
75,75,737791.431053,1.01670293862e-06,-23309.5450763,Exp.Nes10_dDFE.Exponential
76,76,7.86162837718,3.18949533451e-10,-23108.6717873,Exp.Nes10_dDFE.Exponential
77,77,20.3388435684,3.84762266492e-09,-23255.7107692,Exp.Nes10_dDFE.Exponential
78,78,327.227957855,1.12970743871e-12,-23067.1784966,Exp.Nes10_dDFE.Exponential
79,79,294.162681845,3.60935725752e-11,-23116.5763181,Exp.Nes10_dDFE.Exponential
80,80,102.709294392,1.38025146867e-11,-23179.4192493,Exp.Nes10_dDFE.Exponential
81,81,291.195415104,1.07838737939e-11,-23163.380323,Exp.Nes10_dDFE.Exponential
82,82,986393.055114,3.95089505556e-09,-23194.0386657,Exp.Nes10_dDFE.Exponential
83,83,182.52410558,8.68494165474e-12,-23158.7925893,Exp.Nes10_dDFE.Exponential
84,84,901221.547044,3.33417136122e-08,-23093.5843094,Exp.Nes10_dDFE.Exponential
85,85,192.791618336,3.05627745334e-12,-23206.675969,Exp.Nes10_dDFE.Exponential
86,86,109936.786141,7.58559881575e-13,-23183.4686373,Exp.Nes10_dDFE.Exponential
87,87,853.542493438,5.55111512313e-17,-23146.2571314,Exp.Nes10_dDFE.Exponential
88,88,214.510994022,3.54589135831e-11,-23184.7659528,Exp.Nes10_dDFE.Exponential
89,89,633304.703882,1.73829940109e-07,-23102.0823777,Exp.Nes10_dDFE.Exponential
90,90,244.672408528,1.98635552451e-12,-23103.4064375,Exp.Nes10_dDFE.Exponential
91,91,0.0145361889192,0.00312437090319,-23143.8983213,Exp.Nes10_dDFE.Exponential
92,92,999897.040135,2.15742201881e-10,-23128.3681348,Exp.Nes10_dDFE.Exponential
93,93,130.695181138,8.88615347971e-10,-23153.917337,Exp.Nes10_dDFE.Exponential
94,94,793.962872907,1.14502851645e-12,-23174.3702917,Exp.Nes10_dDFE.Exponential
95,95,0.17377905015,0.111867867383,-23049.8619631,Exp.Nes10_dDFE.Exponential
96,96,44.7998721484,4.48234394046e-10,-23119.809059,Exp.Nes10_dDFE.Exponential
97,97,209.862389025,3.02385894102e-12,-23149.9036648,Exp.Nes10_dDFE.Exponential
98,98,183.881645785,5.51103607194e-12,-23211.6865347,Exp.Nes10_dDFE.Exponential
99,99,0.366330120627,0.00342699388174,-23111.0959612,Exp.Nes10_dDFE.Exponential
