,rep,NeSa,pa,AIC,identifier
0,0,1199.29522441,8.30502333571e-12,-23031.646211,Exp.Nes10_dDFE.Exponential_div10
1,1,971527.91377,7.15706222065e-09,-23029.9264796,Exp.Nes10_dDFE.Exponential_div10
2,2,93.8755989996,2.61790589207e-12,-23045.9535768,Exp.Nes10_dDFE.Exponential_div10
3,3,1290.7028475,6.65967281321e-13,-23041.2935603,Exp.Nes10_dDFE.Exponential_div10
4,4,54.9386534259,3.34176747385e-09,-23037.3047577,Exp.Nes10_dDFE.Exponential_div10
5,5,491307.046385,2.2486488227e-09,-23056.759337,Exp.Nes10_dDFE.Exponential_div10
6,6,0.320654250208,0.0039520934996,-22951.2307306,Exp.Nes10_dDFE.Exponential_div10
7,7,204662.639448,8.98041285224e-08,-23038.2242398,Exp.Nes10_dDFE.Exponential_div10
8,8,1023.56189308,5.1714188487e-13,-23020.546099,Exp.Nes10_dDFE.Exponential_div10
9,9,732.143708848,5.55111512313e-17,-23049.717435,Exp.Nes10_dDFE.Exponential_div10
10,10,1085.73297517,1.25421895092e-12,-23061.7028349,Exp.Nes10_dDFE.Exponential_div10
11,11,4992.2019155,1.05585540311e-11,-22989.8490256,Exp.Nes10_dDFE.Exponential_div10
12,12,953725.538947,6.72247452149e-09,-23014.427596,Exp.Nes10_dDFE.Exponential_div10
13,13,944243.952191,3.28076454892e-10,-23050.0652718,Exp.Nes10_dDFE.Exponential_div10
14,14,707795.337532,3.64769775496e-09,-23096.8661682,Exp.Nes10_dDFE.Exponential_div10
15,15,151705.370041,4.60483640108e-09,-23008.1818181,Exp.Nes10_dDFE.Exponential_div10
16,16,344.127018821,4.35135633081e-09,-23079.2511853,Exp.Nes10_dDFE.Exponential_div10
17,17,0.0996404397324,0.000706607877583,-23108.1667315,Exp.Nes10_dDFE.Exponential_div10
18,18,22.5709441646,1.21916154949e-09,-23032.195507,Exp.Nes10_dDFE.Exponential_div10
19,19,999479.893344,2.70190064766e-09,-22960.0260144,Exp.Nes10_dDFE.Exponential_div10
20,20,447679.665444,3.2509356318e-10,-23006.9594842,Exp.Nes10_dDFE.Exponential_div10
21,21,262510.82119,9.65489910243e-11,-23062.017476,Exp.Nes10_dDFE.Exponential_div10
22,22,121.894239026,1.45262690765e-11,-23045.94549,Exp.Nes10_dDFE.Exponential_div10
23,23,290.374398749,1.58769108971e-11,-23031.9734384,Exp.Nes10_dDFE.Exponential_div10
24,24,212.394537864,3.42968986544e-11,-23079.9811862,Exp.Nes10_dDFE.Exponential_div10
25,25,983860.21984,4.1335894152e-09,-22982.2617324,Exp.Nes10_dDFE.Exponential_div10
26,26,898114.328452,1.48653622745e-09,-22961.5286237,Exp.Nes10_dDFE.Exponential_div10
27,27,43.1449936156,3.28967408869e-11,-22983.068034,Exp.Nes10_dDFE.Exponential_div10
28,28,344.023116648,1.61434754453e-11,-23045.591022,Exp.Nes10_dDFE.Exponential_div10
29,29,383.733027008,1.25961463482e-11,-23022.1155492,Exp.Nes10_dDFE.Exponential_div10
30,30,551.542222366,3.02085023662e-11,-23067.6285302,Exp.Nes10_dDFE.Exponential_div10
31,31,98.9547640207,1.52209911342e-11,-23083.8322236,Exp.Nes10_dDFE.Exponential_div10
32,32,494.717696157,7.72376607117e-12,-22988.6264602,Exp.Nes10_dDFE.Exponential_div10
33,33,3.17894159413,2.53476887202e-07,-23062.5069975,Exp.Nes10_dDFE.Exponential_div10
34,34,273.407911239,5.29846722053e-11,-23011.1913589,Exp.Nes10_dDFE.Exponential_div10
35,35,966342.840914,7.47647838084e-09,-22911.6577432,Exp.Nes10_dDFE.Exponential_div10
